"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Model Number","DQ Score"
"HOU","SWE","169287","Wilko Panasonic Vacuum Cleaner Bags 5pk","Wilko","5 Pack","Brown",NA,0.883333333333333
"HOU","SWE","169288","Wilko Vax Vacuum Cleaner Bags 4pk","Wilko","4 Pack","Brown","Code 11",0.941666666666667
"HOU","SWE","169291","Wilko Electrolux or Zanussi Vacuum Cleaner Bags5pk","Wilko","5 Pack","Brown","Code 3",0.941666666666667
"HOU","SWE","169295","Wilko Panasonic on Samsung  Vacuum Cleaner Bags5pk","Wilko","5 Pack","Brown",NA,0.883333333333333
"HOU","SWE","169296","Wilko Hoover Vacuum Cleaner Bags 5pk","Wilko",NA,"Brown","Code 15",0.883333333333333
"HOU","SWE","174869","Wilko Henry Vacuum Cleaner Bags for Henry 5pk","Wilko",NA,NA,NA,0.766666666666667
"HOU","SWE","199036","Wilko  Electrolux Vacuum Cleaner Bags 5pk","Wilko","5 Pack","Brown",NA,0.883333333333333
"HOU","SWE","296407","Wilko  Electrolun and Hoover Vacuum Cleaner Bags5pk","Wilko","16.5x18.5cm","Brown",NA,0.883333333333333
"HOU","SWE","296408","Wilko Universal Vacuum Cleaner Bags 3pk","Wilko","3 Pack","Brown",NA,0.883333333333333
"HOU","SWE","296430","Wilko Cleaning Vacuum Lemon Scent Sticks 5pk","Wilko",NA,"Yellow",NA,0.825
"HOU","SWE","329082","Wilko Miele Vacuum Cleaner Bags 5pk","Wilko",NA,"Brown",NA,0.825
