"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","DQ Score"
"GAR","SUN","337291","Wilko Get Gardening Leaf Grabber Green","Wilko",NA,NA,NA,NA,NA,NA,0.825
"GAR","SUN","406176","Wilko Composter 220L","Wilko","220L",NA,NA,NA,"No","220ltr",0.941666666666667
"GAR","TRA","406178","Whitefurze Barrel Planter 50cm","Whitefurze","50cm",NA,NA,NA,"No",NA,0.93
"GAR","TUB","338656","Wilko Planter Round Milano Black 50cm","Wilko","50cm","Black",NA,NA,"No",NA,1
"GAR","WAT","313385","Water Butt Slim Injection 100L","Wilko","100L",NA,NA,NA,NA,"100L",0.88
"GAR","WAT","313387","Water Butt Green 230L","Wilko","230L",NA,NA,NA,NA,"230L",0.88
"GAR","WAT","313392","Water Butt Stand Slim Black","Wilko","Slimline",NA,NA,NA,NA,"100L",0.88
"GAR","WAT","313393","Water Butt Stand Black","Wilko","Standard",NA,NA,NA,NA,"230L",0.88
"GAR","WAT","313396","Wilko Functional Garden Watering Can Green 6L","Wilko Functional","6L","Green",NA,NA,NA,"6L",1
"HOU","WAR","328405","Wilko Plastic Shoe Box and Lid Clear Small11 x 19 x 33cm","Wilko","11x19x33cm","Clear","1","Polypropelyne",NA,NA,0.95
"HOU","WAR","328427","Wilko  Plastic Shoe Boxand Lid Clear Large14 x 26 x 36cm","Wilko","14x26x36cm","Clear","1","Polypropelyne",NA,NA,0.95
"HOU","WAR","454068","Wilko Underbed Storage Box 28L","Wilko","28L",NA,"1","Polypropylene",NA,"28L",0.9
"HOU","WAR","454069","Wilko Storage Box Pot Pourri 18L","Wilko","18L",NA,"1","Polypropylene",NA,"18L",0.9
"KIT","BAP","222227","Wilko  Plastic Funnel 18cm","Wilko","18cm",NA,"1",NA,NA,NA,1
"KIT","FOO","180304","Wilko Rectangular Food Storage Box Clear 4L","Wilko","4L","Clear","1",NA,NA,NA,0.9
"KIT","FOO","180314","Whitefurze Food Storers Dry Food Container 3L","Wilko","3L","Clear","1",NA,NA,NA,0.85
"KIT","FOO","180316","Wilko Cereal Storer 5L","Wilko","5L","Clear","1",NA,NA,NA,0.9
"KIT","FOO","180319","Wilko Fridge Jug 1.5L","Wilko","1.5L","Clear","1",NA,NA,"1.5L",0.95
"KIT","FOO","285297","Wilko Food Box 125ml","Wilko","125ml",NA,"1",NA,NA,"125ml",0.9
"KIT","STO","202200","Wilko Handy Baskets Large Assorted 37cm 2pk","Wilko","Large 37cm","Multi","2pk","Polypropylene",NA,NA,1
"KIT","STO","202201","Wilko Handy Baskets Medium Assorted 3pk","Wilko","Medium 30cm","Multi","3pk","Polypropylene",NA,NA,1
"KIT","STO","202202","Wilko Handy Baskets Small Assorted 5pk","Wilko","Small 25cm","Multi","5pk","Polypropylene",NA,NA,1
"KIT","STO","222518","Wilko Stacking Baskets Silver 3pk","Wilko","3 Pack","Silver","1","Plastic",NA,NA,1
"KIT","STO","328744","Wilko Storage Basket with Carry Handle","Wilko",NA,"Clear","1",NA,NA,NA,0.883333333333333
"KIT","STO","435941","Wilko Caddy Basket Large","Wilko","13.5x19x28cm",NA,"1","Plastic",NA,NA,0.9
