"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"SBK","DES","232062","Berol Pen Handwriting Black Medium 2pk","Berol","Medium","Black","2pk",NA,1
"SBK","DES","315688","Berol Paper Mate Handwriting Pen Cartridge Red","Berol",NA,NA,"1",NA,0.86
"SBK","DES","337193","Berol Colour Fine Assorted 12pk","Berol","Fine",NA,NA,NA,0.86
"SBK","DES","53216","Berol Handwriting Pen Blue Medium 2pk","Berol","Medium","Blue","2pk",NA,1
"SBK","DES","229456","Paper Mate Comfortmate Retractable Ball Point PenBlack 4pk","Paper Mate","Medium","Black","4pk",NA,1
"SBK","DES","261573","Papermate Mechanical Pencil 4pk","Paper Mate","0.7mm","Multi",NA,NA,0.88
"SBK","DES","303187","Paper Mate Gel Pens Black Medium 2pk","Paper Mate","Medium",NA,"2pk",NA,0.93
"SBK","DES","317991","Paper Mate Everyday Smoothness Gel Pens Medium Assorted 4pk","Paper Mate","Medium","Multi","4",NA,1
"SBK","DES","318056","Paper Mate Flexgrip Ultra Ball Point Pens Medium2pk","Paper Mate","Medium","Black","2pk",NA,1
"SBK","DES","417136","Paper Mate Inkjoy Black 8pk","Paper Mate","L146 x W15 x H193",NA,"8",NA,0.93
"SBK","DES","417137","Paper Mate Inkjoy Assorted 8pk","Paper Mate","L146 x W15 x H193",NA,"8",NA,0.93
"SBK","DES","417138","Paper Mate Inkjoy Fun Colours 8pk","Paper Mate","L146 x W15 x H193",NA,"8",NA,0.93
"SBK","DES","432408","Paper Mate Inkjoy Ballpoint Pens Black 8pk","Paper Mate","Pen H 14.8cm, W 1.3cm","Black","1","No",0.65
"SBK","DES","432409","Paper Mate Inkjoy Assorted Colours 8pk","Paper Mate","H 14.8cm, W 1.3cm","Multi","8",NA,1
"SBK","DES","432410","Paper Mate Ink Joy Mini Ballpoint PensAssorted Colours 10pk","Paper Mate","H 11.4cm, W 1.3cm","Multi","10",NA,1
"SBK","DES","454042","Paper Mate Inkjoy Gels Pens Black 2pk","Paper Mate","1.6 x 6.2 x 19.4cm","Black","2",NA,0.95
"SBK","DES","454043","Paper Mate Inkjoy Gel Pens Assorted Colours 3pk","Paper Mate","1.6 x 9.5 x 19.4cm","Multi","3",NA,0.95
"SBK","DES","454045","Paper Mate Erasable Gel Black 2pk","Paper Mate","1.6 x 6.2 x 19.4cm","Black","2",NA,0.95
"SBK","DES","454046","Paper Mate Erasable Gel Pens 4pk","Paper Mate","1.6 x 9.5 x 19.4cm","Multi","4",NA,0.95
"SBK","DES","454047","Paper Mate Flair Candy Pop 6pk","Paper Mate","1.5 x 12 x 19.4cm","Multi","6",NA,0.95
"SBK","DES","454270","Paper Mate Inkjoy Gels Pens 3pk","Paper Mate","1.6 x 9.5 x 19.4cm","Multi","3",NA,0.95
"SBK","DES","261570","Sharpie Mini Fine Point Marker Assorted Colours","Sharpie",NA,"Multi",NA,NA,0.86
"SBK","DES","317952","Sharpie Permanent Markers Fine Point Assorted Colours 4pk","Sharpie","ULa Fine Point","Multi","4pk",NA,1
"SBK","DES","349392","Sharpie Permanent Marker Metallic 3pk","Sharpie",NA,NA,"3pk",NA,0.86
"SBK","DES","417140","Sharpie Fine Permanent Marker Black 2pk","Sharpie","L7.6 x W2.1 x H0.7",NA,"2",NA,0.93
"SBK","DES","423844","Sharpie Fine Markers Asstd Colours 12pk","Sharpie","H 13.7cm, W 1.4cm",NA,"12",NA,0.93
"SBK","DES","432398","Sharpie Colour Burst Fine Permanent Markers 5pk","Sharpie","1.7 x 12 x 19.4cm","Multi","5",NA,0.95
"SBK","DES","432399","Sharpie Electro Pop Permanent Markers 5pk","Sharpie","H 13.7cm, W 1.4cm","Multi","5",NA,1
