"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","DQ Score"
"DIY","BRA","160270","Wilko Wall Bar Twin Slot Bracket White 43cm","Wilko","43x2.5cm","White","1",NA,1
"DIY","BRA","160272","Wilko Wall Bar Twin Slot Bracket White 100cm","Wilko","1000mm","White","1",NA,1
"DIY","BRA","160276","Wilko Twin Slot Bracket White 170mm","Wilko","170mm","White","1",NA,1
"DIY","BRA","160278","Wilko Bracket Twin Slot White 270mm","Wilko","270mm","White","1",NA,1
"DIY","BRA","160281","Wilko Bracket Twin Slot White 320mm","Wilko","320mm","White","1",NA,1
"DIY","BRA","161736","Wilko Storage Hook Plastic Coated Red Large","Wilko","Large",NA,NA,"Steel",0.883333333333333
"DIY","BRA","161737","Wilko Ladder Hook Plastic Coated Red","Wilko","6.5x21cm",NA,NA,NA,0.9125
"DIY","BRA","161738","Wilko Tool Storage Hook Plastic Coated Red","Wilko","10x5.5cm",NA,NA,"Steel",0.883333333333333
"DIY","BRA","189680","Wilko Bracket Twin Slot White 220mm","Wilko","220mm","White","1",NA,1
"DIY","BRA","345577","Wilko Square Utility Hook Small White","Wilko","1 Pack",NA,NA,NA,0.825
"DIY","BRA","345578","Wilko Square Utility Hook Large White","Wilko","1 Pack",NA,"1",NA,0.883333333333333
"DIY","BRA","4641040","Wilko London Bracket 75 x 100mm White","Wilko","100x75mm",NA,"1",NA,0.93
"DIY","BRA","4641240","Wilko Shelf Bracket 100 x 125mm White","Wilko","125x100mm",NA,NA,NA,0.86
"DIY","BRA","4641440","Wilko London Bracket 125 x 150mm White","Wilko","150x125mm",NA,NA,NA,0.86
"DIY","BRA","4641640","Wilko London Bracket 200 x 150mm White","Wilko","200x150mm",NA,NA,NA,0.86
"DIY","BRA","4641840","Wilko London Bracket  175 x 225mm White","Wilko","225x175mm",NA,NA,NA,0.86
"DIY","BRA","4642040","Wilko Shelf Bracket 200 x 250mm White","Wilko","250x200mm",NA,NA,NA,0.86
"DIY","BRA","4642240","Wilko London Bracket 250 x 300mm White","Wilko","300x250mm",NA,NA,NA,0.86
"DIY","BRA","4642440","Wilko London Bracket 300 x 350mm White","Wilko","35x30cm",NA,NA,NA,0.86
"DIY","DOO","324582","Stoppy Ultimate Door and Window Stopper Assorted","Stoppy",NA,NA,"1",NA,0.86
"DIY","DOO","10360","Wilko Roller Catch Double Zinc Plated","Wilko","1 Pack",NA,"1",NA,0.93
"DIY","DOO","159371","Wilko Door Wedge White PVC","Wilko",NA,NA,"1",NA,0.86
"DIY","DOO","159406","Wilko Backflap Hinge 25mm 2pk","Wilko","25mm",NA,"2pk",NA,0.883333333333333
"DIY","DOO","159419","Wilko Cabinet Hinge Concealed Sprung 35mm","Wilko","35mm",NA,NA,NA,0.86
"DIY","DOO","159496","Wilko Hinge Butt Brass 25mm","Wilko","25mm",NA,"2pk",NA,0.93
"DIY","DOO","159500","Wilko Door Bolt Aluminium 50mm","Wilko","50mm",NA,"1","Aluminium",0.941666666666667
"DIY","DOO","159501","Wilko Door Bolt Straight Aluminium 75mm","Wilko","75mm",NA,"1","Aluminium",0.941666666666667
"DIY","DOO","159502","Wilko Bolt Door Brass 38mm","Wilko","38mm",NA,NA,"Brass",0.883333333333333
"DIY","DOO","159503","Wilko Bolt Door Brass 50mm","Wilko","50mm",NA,NA,"Brass",0.883333333333333
"DIY","DOO","159504","Wilko Door Bolt Straight Brass 75mm","Wilko","75mm",NA,NA,"Brass",0.883333333333333
"DIY","DOO","159505","Wilko Door Bolt Necked Brass 75mm","Wilko","75mm",NA,NA,"Brass",0.883333333333333
