"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","DQ Score"
"HOM","CHI","273477","Wilko Football Papershade","Wilko","34cm","Blue","1",NA,NA,NA,0.941666666666667
"HOM","CHI","305093","Wilko Lazer Cut Paper Light Shade Pink 30cm","Wilko","30cm","Pink",NA,NA,NA,NA,0.883333333333333
"HOM","CHI","326285","Wilko Galaxy Gang Robot Storage Boxes Set of 3","Wilko",NA,"Multi","1",NA,NA,NA,0.883333333333333
"HOM","CHI","326286","Wilko Friendly Fairies Storage Totes Set of 3","Wilko","3 Pack","Multi","1",NA,NA,NA,1
"HOM","CHI","327717","Wilko Stars Papershade","Wilko",NA,"Silver","1",NA,NA,NA,0.883333333333333
"HOM","CHI","340702","Wilko Butterfly String  Lights","Wilko","1.7m","White","1",NA,NA,NA,0.941666666666667
"HOM","CHI","410430","Wilko Galaxy Cut Out Shade","Wilko",NA,NA,"1",NA,NA,NA,0.825
"HOM","CHI","410431","Wilko Tote Boxes Dinosaur 3pk","Wilko","Set of 3",NA,"3",NA,NA,NA,0.85
"HOM","CHI","432848","Wilko Pop Up Storage Blue","Wilko","37.5cm High, 37.5cm Diameter",NA,"1","POLYPROPYLENE",NA,NA,0.9
"HOM","CHI","432852","Wilko Pink Shade","Wilko","25cm High, 20cm Diameter",NA,"1",NA,NA,NA,0.883333333333333
"HOM","CHI","432854","Wilko Pop Up Storage Pink","Wilko","37.5cm High, 37.5cm diameter",NA,"1","POLYPROPYLENE",NA,NA,0.9
"HOM","CHI","432874","Wilko Underbed Storage Fabric Blue","Wilko","75cm Length, 45cm Wide, 20cm High",NA,"1","POLYPROPYLENE",NA,NA,0.9
"HOM","CHI","432875","Wilko Underbed Storage Fabric Pink","Wilko","75cm Length, 45cm Wide, 20cm High",NA,"1","POLYPROPYLENE",NA,NA,0.9
"HOM","FUR","430537","Wilko Fabric Storage Box Stone 30 x 30cm","Wilko","30cm x 30cm x 30cm",NA,"1","Polypropylene, Card",NA,NA,0.9
"HOM","FUR","430538","Wilko Decoration Box Stone Large","Wilko","30cm x 30cm x 30cm",NA,"1","Cardboard",NA,NA,0.941666666666667
"HOM","FUR","440442","Wilko Shelf Kit White 25 x 60cm","Wilko",NA,NA,"1","MDF",NA,NA,0.883333333333333
"HOM","FUR","440443","Wilko Shelf Kit White 25 x 100cm","Wilko",NA,NA,"1","MDF",NA,NA,0.883333333333333
"HOM","FUR","440444","Wilko Shelf Kit Oak Effect 25 x 60cm","Wilko",NA,NA,"1","MDF",NA,NA,0.883333333333333
"HOM","FUR","440445","Wilko Shelf Kit Oak Effect  25 x 100cm","Wilko",NA,NA,"1","MDF",NA,NA,0.883333333333333
"HOM","LIG","453158","Eric Light Shade 30.5cm","Lighting and Interiors Group","30.5cm bottom diameter, 20cm high",NA,"1",NA,NA,NA,0.88
"HOM","LIG","453159","Emilio Pendant Shade Chrome","Lighting and Interiors Group","24.5cm bottom diameter, 16cm high",NA,"1",NA,NA,NA,0.88
