"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Age","DQ Score"
"TOI","BAC","271249","Tommee Tippee Close To Nature Breast and BottleFeeding Teats 2pk","Tommee Tippee","3Months","2pk",NA,0.883333333333333
"TOI","BAC","271250","Tommee Tippee Closer To Nature Fast Flow Teats 2pk","Tommee Tippee","6 Months","1","6 Months",0.941666666666667
"TOI","BAC","281690","Tommee Tippee Closer To Nature Bottle 260ml 2pk","Tommee Tippee","260ml","1","Birth",0.941666666666667
"TOI","BAC","421396","Tommee Tippee Active Sports Bottle 12+ Months","Tommee Tippee","300ML","1","12 Months Plus",0.9
"TOI","BAC","421397","Tommee Tippee Insulated Active Straw Cup 12+Months","Tommee Tippee","260ML","1","12 Months Plus",0.9
"TOI","BAC","421398","Tommee Tippee Insulated Active Sippee Cup 12+Months","Tommee Tippee","260ML","1","12 Months Plus",0.9
