"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Power","DQ Score"
"DIY","BAT","174219","Energizer Alkaline Battery A23 12V Single","Energizer","12V",NA,NA,"12V",0.93
"DIY","BAT","174224","Energizer Lithium Battery CR2 3V Single","Energizer","3V",NA,NA,"3V",0.93
"DIY","BAT","174225","Energizer Lithium Battery 123 3V Single","Energizer","123",NA,NA,"3V",0.93
"DIY","BAT","180586","Energizer Max Alkaline Batteries D 1.5V 2pk","Energizer","D",NA,"2pk","1.5V",1
"DIY","BAT","180587","Energizer Max Alkaline Batteries  1.5v C LR141.5V 2pk","Energizer","C",NA,"2pk","1.5V",1
"DIY","BAT","180588","Energizer Max Alkaline Batteries AAA LR03 1.5V 4pk","Energizer","AAA",NA,"4pk","1.5V",1
"DIY","BAT","180589","Energizer Max Alkaline Batteries AA LR6 1.5V 4pk","Energizer","AA",NA,"4pk","1.5V",1
"DIY","BAT","180590","Energizer Max Alkaline Batteries 6LR61 9V Single","Energizer","9V",NA,"1","9V",1
"DIY","BAT","180593","Energizer Max Alkaline Batteries LR6 1.5V 8pk","Energizer","AA",NA,"8pk","1.5V",1
"DIY","BAT","203035","Energizer Max Alkaline Batteries AAA LR03 1.5V 8pk","Energizer","AAA",NA,"8pk","1.5V",1
"DIY","BAT","218366","Energizer Cell Lithium Battery CR2016 3V 2pk","Energizer","CR2016",NA,"2pk","3V",1
"DIY","BAT","218367","Energizer Cell Lithium Battery CR2025 3V 2pk","Energizer","CR2025",NA,"2pk","3V",1
"DIY","BAT","218368","Energizer Cell Lithium Battery CR2032 3V 2pk","Energizer","CR2032",NA,"2pk","3V",1
"DIY","BAT","277652","Energizer Universal Battery Charger","Energizer","Universal",NA,NA,"Mains",0.93
"DIY","BAT","277653","Energizer Accu Recharge Maxi Compact BatteryCharger with Batteries AA 1.2V 4pk","Energizer","AA",NA,NA,"Mains",0.93
"DIY","BAT","277654","Energizer NiHM Rechargeable Batteries D 2500mAh1.2V 2pk","Energizer","D",NA,"2pk","1.2V",1
"DIY","BAT","277655","Energizer NiMH Rechargeable Batteries C 2500mAh1.2V 2pk","Energizer","C",NA,"2pk","1.2V",1
"DIY","BAT","277656","Energizer NiMH Rechargeable Batteries AAA 700mAh1.2V 4pk","Energizer","AAA",NA,"4pk","1.2V",1
"DIY","BAT","277657","Energizer NiMH Rechargable Batteries AAA 500mAh1.2V 4pk","Energizer","AAA",NA,"4pk","1.2V",1
"DIY","BAT","277658","Energizer NiMH Rechargable Batteries AA 2300mAh1.2V 4pk","Energizer","AA",NA,"4pk","1.2V",1
"DIY","BAT","277659","Energizer NiMH Rechargeable Batteries AA 2000mAH1.2V 4pk","Energizer","AA",NA,"4pk","1.2V",1
"DIY","BAT","277660","Energizer Battery NiMH Rechargeable AA 1300mAh1.2V 4pk","Energizer","AA",NA,"4pk","1.2V",1
"DIY","BAT","277661","Energizer NiMH Rechargeable Batteries PP3 175mAh9V Single","Energizer","PP3",NA,NA,"9V",0.93
"DIY","BAT","277663","Energizer NiMH Battery Charger with BatteriesAA 1.2V 4pk","Energizer","AA",NA,NA,"Mains",0.93
"DIY","BAT","281784","Energizer Hearing Aid Batteries PR41 312 1.4V 8pk","Energizer","312",NA,"8pk","1.4V",1
"DIY","BAT","281785","Energizer Hearing Aid Batteries 13 1.4V 8pk","Energizer","13",NA,"8pk","1.4V",1
"DIY","BAT","298407","Energizer Battery Charger 2000mAh with BatteriesAA 1.5V 4pk","Energizer","AA",NA,"4","Mains",1
"DIY","BAT","336832","Energizer Cell Lithium Batteries CR2032 3V 4pk","Energizer","3V",NA,"4pk",NA,0.93
"DIY","BAT","337233","Energizer NiMH Recharge Extreme Batteries AAA800mAh 1.2V 4pk","Energizer","AAA",NA,"1",NA,0.93
"DIY","BAT","346267","Energizer Ultimate Lithium  Batteries AA LR6 1.5V4pk","Energizer","AA",NA,"4",NA,0.93
"DIY","BAT","346268","Energizer Ultimate Lithium Batteries  AAA LR031.5V 4pk","Energizer","AAA",NA,"4",NA,0.93
"DIY","BAT","346269","Energizer Alkaline Batteries LR1 1.5V 2pk","Energizer","LR1",NA,"1",NA,0.93
"DIY","BAT","420353","Energizer Eco Advanced AA 4pk","Energizer","4X AAA Batteries",NA,"4",NA,0.93
"DIY","BAT","420370","Energizer Eco Advanced Batteries AAA 4pk","Energizer","4X AAA Batteries",NA,"4",NA,0.93
"DIY","BAT","420380","Energizer Advanced Batteries C 2pk","Energizer","2XC Batteries",NA,"2",NA,0.93
"DIY","BAT","420381","Energizer Advanced Batteries D 2pk","Energizer","2 x D batteries",NA,"2",NA,0.93
"DIY","BAT","420382","Energizer Advanced Batteries 9V Single","Energizer","1 X 9V Battery",NA,"1",NA,0.93
"DIY","BAT","420383","Energizer Eco Advanced Batteries AA Maxi Pack","Energizer","AA Battery",NA,"10pk",NA,0.93
"DIY","BAT","420385","Energizer Eco Advanced Batteries AAA Maxi Pack","Energizer","AAA Battery",NA,"10pk",NA,0.93
"DIY","BAT","420389","Energizer Alkaline Batteries LR44 1.5V 4pk","Energizer","4 X LR44 Batteries",NA,"4",NA,0.86
"DIY","BAT","5190940","Eveready Silver Zinc Battery PP9 9V Single","Eveready","PP9B",NA,"1","9V",1
"DIY","BAT","60661","Eveready Weatherproof Lantern Battery 4R25 6VSingle","Eveready","PJ996",NA,NA,"6V",0.93
"DIY","ELE","440860","Energizer Vision Headlight 2 Light Mode","Energizer","Head torch with 3 x AAA batteries","Blue","1","AAA batteries",0.95
"DIY","ELE","440861","Energizer Vision HD Headlight 4 Light Mode","Energizer","Head torch with 3 x AAA batteries","Green","1","AAA batteries",0.95
"DIY","ELE","440862","Energizer Compact Lantern 2 Light Mode","Energizer","Compact Lantern with 4 x AA Batteries","Grey","1","AA batteries",0.95
