"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","DQ Score"
"HOM","HAB","173172","Korbond Elastic Black 12mm x 2m","Korbond","12mmx2m","Black",NA,NA,0.93
"HOM","HAB","192926","Korbond Hook and Loop Tape Black 50cm","Korbond","2x50cm","Black",NA,NA,0.93
"HOM","HAB","214469","Korbond Iron on Mender 3.8 x 50cm 3pk","Korbond","3.8x50cm","Multi","3pk",NA,1
"HOM","HAB","228239","Korbond Embroidery Floss 7m 20pk","Korbond","7m","Multi","20pk",NA,1
"HOM","HAB","228241","Korbond Hemming Web 20m","Korbond","20m","White",NA,NA,0.93
"HOM","HAB","228328","Korbond General Purpose Scissors 5in","Korbond","12.5cm","Silver","1",NA,1
"HOM","HAB","249440","Korbond Polyester Thread Selection Dark  32m 12pk","Korbond","12x32m","Multi","12pcs",NA,1
"HOM","HAB","249441","Korbond Thread Polyester Dark Assorted 32m 12pk","Korbond","12x32m","Multi","12pcs",NA,1
"HOM","HAB","249443","Needle Threader and Thimble 4pk","Korbond","4 Pack","Silver","1",NA,0.95
"HOM","HAB","253366","Korbond Iron On Hemming Tape Black 4.5m","Korbond","4.5m","Black",NA,NA,0.93
"HOM","HAB","287099","Korbond Nylon Thread Smoke and Clear 2pk","Korbond","110mx2","Clear","2pcs",NA,1
"HOM","HAB","287101","Korbond Buttons Asstorted 20pk","Korbond","Assorted","Multi","20pk",NA,1
"HOM","HAB","287102","Korbond Needles Easy Thread 6pk","Korbond","41855","Silver","6pk",NA,1
"HOM","HAB","288142","Korbond Hook/Loop Tape White 50cm","Korbond","2x50cm","White",NA,NA,0.93
"HOM","HAB","288143","Korbond Knitting Needles 3.25mm x 35cm","Korbond","3.25x35cm","White","2pcs","Aluminium",1
"HOM","HAB","288144","Korbond Knitting Needles 4mm x 35cm","Korbond","0.4x35cm",NA,"2pcs","Aluminium",0.941666666666667
"HOM","HAB","288145","Korbond Knitting Needles 6mm x 35cm","Korbond","0.6x35cm","White","2pcs","Aluminium",1
"HOM","HAB","288146","Korbond Lint Roller Blue 5m","Korbond","5m",NA,"1",NA,1
"HOM","HAB","288153","Korbond Sew on Snap Fastners 24pcs","Korbond","12Pack","Silver","24pcs",NA,1
"HOM","HAB","288157","Korbond Threaded Needle Kit Assorted","Korbond","Assorted","Multi","1",NA,1
"HOM","HAB","351961","Korbond Sewing Machine Needles 6pk","Korbond",NA,NA,"6pk",NA,0.86
"HOM","HAB","351964","Korbond  Sewing Kit Case 15pcs","Korbond",NA,NA,NA,NA,0.79
"HOM","HAB","351965","Korbond Sewing Bag","Korbond",NA,NA,NA,NA,0.79
"HOM","HAB","351971","Korbond Large Stitch Holder","Korbond",NA,NA,NA,NA,0.79
"HOM","HAB","351973","Korbond Cable Needles 2pk","Korbond",NA,NA,NA,NA,0.79
"HOM","HAB","351977","Korbond Circular Knitting Needle 5.0mm","Korbond","5.0mm",NA,NA,NA,0.825
"HOM","HAB","433278","Household Scissors 8in","Korbond",NA,NA,"1",NA,0.81
"HOM","HAB","433283","Professional Glass Headed Pins 10g","Korbond","10g",NA,"1",NA,0.88
"HOM","HAB","433299","Bra Extender White 50mm","Korbond","50mm","White","1",NA,0.95
"HOM","HAB","433300","Instant Repair Tape 4.5m","Korbond","4.5m",NA,"1",NA,0.88
"HOM","HAB","433302","Elastic Black 6mm x 3m","Korbond","6mm x 3m","White","1",NA,0.95
"HOM","HAB","433303","Elastic Black 6mm x 3m","Korbond","6mm x 3m","Black","1",NA,0.95
"HOM","HAB","433305","Name Label Kit","Korbond",NA,NA,"1",NA,0.81
"HOM","HAB","433308","Hook and Loop Stick On White 2cm x 50cm","Korbond","2cm x 50m","White","1",NA,0.95
"HOM","HAB","433309","Double Sided Lint Brush","Korbond",NA,NA,"1",NA,0.8625
"HOM","HAB","433312","White Cotton Thread 200m","Korbond","200m","White","1",NA,0.95
"HOM","HAB","433313","Black Cotton Thread 200m","Korbond","200m","Black","1",NA,0.95
"HOM","HAB","433314","White Transparent Thread 200m","Korbond",NA,"White","200m",NA,0.88
"HOM","HAB","433315","Black Transparent Thread 200m","Korbond",NA,"Black","200m",NA,0.88
"HOM","HAB","433316","White Shirring Elastic 20m","Korbond",NA,"White","20m",NA,0.88
"HOM","HAB","433317","Black Shirring Elastic 20m","Korbond",NA,"Black","20m",NA,0.88
"HOM","HAB","433318","White Polyester Thread 100m","Korbond","100m","White","1",NA,0.95
"HOM","HAB","433319","Black Polyester Thread 100m","Korbond","100m","Black","1",NA,0.95
"HOM","HAB","433320","Mustard Yellow Polyester Thread 100m","Korbond","100m","Yellow","1",NA,0.95
"HOM","HAB","433321","Red Polyester Thread 100m","Korbond","100m","Red","1",NA,0.95
"HOM","HAB","433322","Fuschia Pink Polyester Thread 100m","Korbond","100m","Pink","1",NA,0.95
"HOM","HAB","433323","Navy Blue Polyester Thread 100m","Korbond","100m","Blue","1",NA,0.95
"HOM","HAB","433324","Olive Green Polyester Thread 100m","Korbond","100m","Green","1",NA,0.95
"HOM","HAB","433325","Cream Polyester Thread 100m","Korbond","100m","Cream","1",NA,0.95
"HOM","HAB","433327","Brown Polyester Thread 100m","Korbond","100m","Brown","1",NA,0.95
"HOM","HAB","433328","Grey Polyester Thread 100m","Korbond","100m","Grey","1",NA,0.95
"HOM","HAB","433330","Purple Polyester Thread 100m","Korbond","100m","Purple","1",NA,0.95
"HOM","HAB","433332","Pumpkin Orange Polyester Thread 100m","Korbond","100m","Orange","1",NA,0.95
"HOM","HAB","433333","Deep Red Polyester Thread 100m","Korbond",NA,"Red","1100m",NA,0.88
"HOM","HAB","433335","Taupe Polyester Thread 100m","Korbond","100m","Brown","1",NA,0.95
"HOM","HAB","433336","Midnight Blue Polyester Thread 100m","Korbond","100m","Blue","1",NA,0.95
"HOM","HAB","433338","Baby Blue Polyester Thread 100m","Korbond","100m","Blue","1",NA,0.95
"HOM","HAB","433339","Sapphire Blue Polyester Thread 100m","Korbond","100m","Blue","1",NA,0.95
"HOM","HAB","433341","Steel Grey Polyester Thread 100m","Korbond","100m","Grey","1",NA,0.95
"HOM","HAB","433342","Top Stitch Thread White 30m","Korbond","30m","White","1",NA,0.95
"HOM","HAB","433343","Top Stitch Thread Taupe 30m","Korbond","30m","Brown","1",NA,0.95
"HOM","HAB","433344","Top Stitch Thread Midnight Blue 30m","Korbond","30m","Blue","1",NA,0.95
"HOM","HAB","433346","Top Stitch Thread Black 30m","Korbond","30m","Black","1",NA,0.95
"HOM","HAB","433347","Starter Sewing Kit 9pcs","Korbond",NA,NA,"9",NA,0.81
"HOM","HAB","433350","Sewing Basket","Korbond",NA,NA,"1",NA,0.81
"HOM","HAB","433357","Crochet Hook Set 3pk","Korbond",NA,NA,"3",NA,0.775
"HOM","HAB","433358","Stitch Holder Set 3pk","Korbond",NA,NA,"3",NA,0.81
"HOM","HAB","433359","Large Eye Needles","Korbond",NA,NA,"2",NA,0.81
"HOM","HAB","433365","Hook and Loop Iron On 2cm x 50cm","Korbond",NA,NA,"2cm x 50cm",NA,0.81
"HOM","HAB","433366","Lint Roller Refills 3m 2pk","Korbond","6m",NA,"2",NA,0.95
"HOM","HAB","433367","Korbond Twin Pack Black and White 100m 2pk","Korbond","2x100m",NA,"2",NA,0.93
"HOM","HAB","83769","Korbond Hemming Web White 10m","Korbond","10m","White",NA,NA,0.93
"HOM","HAB","83780","Korbond Stitch Ripper","Korbond",NA,"Multi","1",NA,0.93
"HOM","HAB","83781","Korbond Tape Measure 150 x 60cm","Korbond","150x60cm","Multi","1",NA,1
"HOM","HAB","83786","Korbond Berry Pins Assorted 38 x 0.6mm 40pk","Korbond","38x0.6mm","Multi","40pk",NA,1
"HOM","HAB","83787","Korbond Dressmaker Pins Steel 25g","Korbond","25g","Silver",NA,NA,0.93
"HOM","HAB","83790","Korbond Safety Pins Nickel Plated Assorted 50pk","Korbond","Assorted","Silver","50pk",NA,1
"HOM","HAB","83791","Korbond Safety Pins Gilt Assorted 36pk","Korbond","Assorted","Metal","36pk",NA,1
"HOM","HAB","83795","Korbond Needles Multi Purpose Assorted 7pk","Korbond","Assorted","Silver","7pk",NA,1
"HOM","HAB","83796","Korbond Needles Crewel size 3-9 16pk","Korbond","41885","Silver","16pk",NA,1
