"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Age","DQ Score"
"TOY","ACT","336368","Wilko Heroes Flying Fortress Battle Zone","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","350213","Wilko Heroes Commando Figures Assorted","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","350214","Wilko Heroes Stealth Vehicle Jet","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","350218","Wilko Heroes Over Under Dart Gun with 8 Foam Darts","Wilko","Multi","1","6 Years +",0.941666666666667
"TOY","ACT","350894","Wilko Heroes Recon Force Fig and Vehicle","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","456526","Wilko Heroes Foam Dart Refill Pack","Wilko","Multi","12","6 Years +",0.941666666666667
"TOY","ACT","456527","Wilko Heroes Huntsman Ambush Rifle","Wilko","Multi","1","6 Years +",0.941666666666667
"TOY","ACT","456528","Wilko Heroes Huntsman Boomstick Scout","Wilko","Multi","1","6 Years +",0.941666666666667
"TOY","ACT","456530","Wilko Heroes Corps Recoil Tank","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","BOY","336365","Wilko Heroes Battle Tower Zone","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","FAN","456532","Wilko Royal Breeds Equestrian Challenge","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","FAN","456533","Wilko Royal Breeds Build a Stable","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","FAN","456534","Wilko Royal Breeds Pretty Grooming Assorted","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","PRE","336096","Wilko Play Tool Box","Wilko","Multi","1",NA,0.93
