"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","Material","Assembly","Age","DQ Score"
"TOI","XMS","455268","Gizmo Mood Mug","Wilko","1","Ceramic","No",NA,0.6
"TOI","XMS","455269","Gizmo Melting Range","Wilko","1","Plastic, Putty","No","3 years plus",0.6
"TOI","XMS","455270","Gizmo USB Astro Light","Wilko","1","Plastic","No","6 years plus",0.6
"TOI","XMS","455271","Gizmo Light Box","Wilko","1","Plastic","No",NA,0.6
"TOI","XMS","457492","Gizmo Selfie Glasses","Wilko","1","Coated White Card","No","3 years plus",0.6
