"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Model Number","DQ Score"
"SBK","COO","427366","Wilko I Like Cats B5 Stapled Notebook","Wilko","B5",NA,"1",NA,NA,NA,1
"SBK","COO","427388","Wilko I Like Cats A5 Notebooks","Wilko","A5",NA,"1",NA,NA,NA,1
"SBK","COO","445250","Wilko Enterprising Britain Notebook A5 100 Sheets80GSM","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445252","Wilko Enterprising Britain Project Book A5","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445259","Wilko Enterprising Britain Notebook A6 80 Sheets80GSM","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445262","Wilko Enterprising Britain Storage Box with Lid","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445264","Wilko Enterprising Britain Scrapbook","Wilko","3 x 26.5 x 25cm","Multi","1","Paper. Metal Wiro","No","4452645",0.65
"SBK","COO","445269","Wilko Enterprising Britain Premium Journal Notebook B5 80 Sheets 80GSM","Wilko",NA,NA,NA,NA,NA,NA,1
"SBK","COO","445525","Wilko Enterprise Britain Receipt Organiser","Wilko","2.8 x 11.5 x 19cm","Multi","1","Paper. Metal Wiro","No","4455257",0.65
"SBK","PHO","432621","Wilko Address Book A6","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"SBK","PHO","432623","Wilko Recipe Book","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"SBK","PHO","432624","Wilko Birthday and Important Dates Book","Wilko",NA,NA,"1",NA,NA,NA,0.86
"TOI","XMS","456936","Glow Notebook A5 2pk","Wilko",NA,NA,NA,NA,NA,NA,0.716666666666667
"TOI","XMS","456937","Glow Diary","Wilko",NA,NA,NA,NA,NA,NA,0.716666666666667
"XMD","CRA","419785","Wilko Christmas Gift Box with Lid Small Tartan","Wilko","21.5 x 10.5 x 3cm",NA,"1","Chipboard","No",NA,0.65
"XMD","WRA","338010","Wilko Christmas Gift Box with Lid 30cm Tartan","Wilko","30 x 19.5 x 10.5cm",NA,"1","Chipboard","No",NA,0.65
"XMD","WRA","338012","Wilko Christmas Gift Box with Lid 22.5cm Tartan","Wilko","22.5 x 14.5 x 8.5cm",NA,"1","Chipboard","No",NA,0.65
"XMD","WRA","419967","Wilko Kids Christmas Gift Box Large","Wilko","29 x 19 x 10cm",NA,"1","Chipboard","No","419967",0.65
