"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Capacity","Coverage","DQ Score"
"DEC","PRP","182560","Wilko Cellulose Thinners 125ml","Wilko","125ml",NA,NA,NA,NA,NA,0.8
"DEC","WOO","241848","Wilko Scratch Cover and Polish Dark Wood 125ml","Wilko","125ml",NA,"1",NA,NA,NA,0.883333333333333
"DEC","WOO","252295","Wilko Danish Oil 1ltr","Wilko","1L",NA,NA,NA,NA,"14m²",0.883333333333333
"DEC","WOO","252296","Wilko Scratch Cover and Polish Medium Wood 125ml","Wilko","125ml",NA,"1",NA,NA,NA,0.883333333333333
"DEC","WOO","315774","Wilko Traditional Wood Dye Interior Antique Pine 250ml","Wilko","250ml",NA,NA,NA,NA,"9.25m²",0.883333333333333
"DEC","WOO","315775","Wilko Traditional Wood Dye Interior Georgian Medium Oak 250ml","Wilko","250ml",NA,NA,NA,NA,"9.25m²",0.883333333333333
"DEC","WOO","315776","Wilko Traditional Wood Dye Interior Dark Mahogany250ml","Wilko","250ml",NA,"1",NA,NA,"9.25m²",0.941666666666667
"DEC","WOO","315907","Wilko Traditional Wood Dye Interior Indian Redwood250ml","Wilko","250ml",NA,NA,NA,NA,"9.25m²",0.883333333333333
"DEC","WOO","315908","Wilko Traditional Wood Dye Interior Jacobean DarkOak 250ml","Wilko","250ml",NA,"1",NA,NA,"9.25m²",0.941666666666667
"DEC","WOO","65151","Wilko Danish Oil 250ml","Wilko","250ml",NA,NA,NA,NA,"3.5m²",0.883333333333333
"GAR","WOO","125818","Wilko Timbercare Woodland Green 5L","Wilko","5L","Green","1",NA,NA,"20m²",1
"GAR","WOO","210403","Wilko Decking Protector Clear 2.5L","Wilko","2.5L","Clear","1",NA,NA,NA,0.941666666666667
"GAR","WOO","74038","Wilko Timbercare Country Brown 5L","Wilko","5L","Brown","1",NA,NA,"20m²",1
"GAR","WOO","74039","Wilko Timbercare Red Cedar 5L","Wilko","5L","Red","1",NA,NA,"20m²",1
"GAR","WOO","74040","Wilko Timbercare Dark Oak 5L","Wilko","5L","Brown","1",NA,NA,"20m²",1
"PAI","EXT","188995","Wilko Matt Brick and Tile PaintRed 1L","Wilko","1L","Red","1",NA,NA,"14m²",1
"PAI","EXT","189005","Wilko Matt Brick and Tile PaintRed 500ml","Wilko","500ml","Red",NA,NA,NA,"7m²",0.941666666666667
"PAI","EXT","189095","Wilko Step and Tile Gloss PaintRed 1L","Wilko","1L","Red","1",NA,NA,"14m²",1
