"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Power","DQ Score"
"DIY","BAT","215269","Duracell Plus Power Alkaline Batteries AAA LR031.5V 4pk","Duracell","AAA","4pk","1.5V",1
"DIY","BAT","215270","Duracell Plus Power Alkaline Batteries AA LR6 1.5V4pk","Duracell","AA","4pk","1.5V",1
"DIY","BAT","215271","Duracell Plus Power Alkaline Batteries C LR141.5V 2pk","Duracell","C","2pk","1.5V",1
"DIY","BAT","215273","Duracell Plus Power Alkaline Batteries D LR201.5V 2pk","Duracell","D","2pk","1.5V",1
"DIY","BAT","215276","Duracell Plus Power Alkaline Batteries AA LR61.5V 8pk","Duracell","AA","8pk","1.5V",1
"DIY","BAT","254438","Duracell Plus Power Alkaline Batteries AAA LR031.5V 8pk","Duracell","AAA","8pk","1.5V",1
"DIY","BAT","295056","Duracell Ultra Power Alkaline Batteries C LR141.5V 2pk","Duracell","C","2pk","1.5V",1
"DIY","BAT","295057","Duracell Ultra Power Alkaline Batteries D LR201.5V 2pk","Duracell","D","2pk","1.5V",1
"DIY","BAT","298782","Duracell Ultra Power Alkaline Batteries AAA LR031.5V 4pk","Duracell","AAA","4pk","1.5V",1
"DIY","BAT","298783","Duracell Ultra Power Alkaline Batteries AA LR61.5V 4pk","Duracell","AA","4pk","1.5V",1
"DIY","BAT","346256","Duracell Ultra Power Alkaline Batteries AA LR61.5V 8pk","Duracell","AA","8pk",NA,0.93
"DIY","BAT","405764","Duracell Plus Power Battery 6LF22 9V Single","Duracell","9V","1","9V",1
"DIY","BAT","405765","Duracell Ultra Power Battery 6LR61 9V Single","Duracell","9V","1","9V",1
"DIY","BAT","443329","Duracell Plus Power Batteries AA LR6 16pk","Duracell","AA","16pk",NA,0.93
