"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Material","Assembly","Age","DQ Score"
"TOY","ACT","438471","Wilko Roadsters Diecast Train Assortment","Wilko","Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","ACT","438472","Wilko Diecast Roadsters Construction TrucksAssorted","Wilko","Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","ACT","438473","Wilko Roadsters Diecast Helicopter Assortment","Wilko","Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","ACT","438475","Wilko Roadsters Tractor and Trailer Assortment","Wilko","Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","ACT","438476","Wilko Roadsters Diecast Cars 51pcs","Wilko","Multi","51",NA,NA,"3 Years +",0.941666666666667
"TOY","ACT","456582","Wilko Roadsters Express Wheels Air Power","Wilko","Multi","1",NA,NA,"3 Years +",0.941666666666667
"TOY","ACT","456583","Wilko Roadsters Action Force Station Set","Wilko","Multi","1","Metal","No","3 Years +",0.65
"TOY","ACT","456584","Wilko Roadsters Monster Truck 3pk","Wilko","Multi","3",NA,NA,"3 Years +",0.941666666666667
