"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","Age","DQ Score"
"DIY","BIK","409176","Sonic Bulk Bike Pink 20in Wheels","Sonic","20in","Pink",NA,NA,NA,"7-15 Years",1
"DIY","CYC","445343","Barracuda Icon Alloy 18 Speed Jump Bike White/Black, 24"" Wheel","Barracuda","130cm x 20cm x 76xm","White",NA,NA,NA,"12 Years +",1
"DIY","CYC","445345","Barracuda Lynx 18 Speed Dual Suspension Mountain Bike Pink/White, 24"" Wheel","Barracuda","130cm x 20cm x 76xm","Pink",NA,NA,NA,"12 Years +",1
"DIY","CYC","445348","Barracuda Draco 1 Mountain Bike Black/Blue, 20"" Wheel","Barracuda","130cm x 20cm x 76xm","Black",NA,NA,NA,"12 Years +",1
"DIY","CYC","445349","Barracuda Draco 1 Mountain Bike Black/Blue, 22"" Wheel","Barracuda","130cm x 20cm x 76xm","Black",NA,NA,NA,"12 Years +",1
"DIY","CYC","445350","Barracuda Draco 1 Mountain Bike Black/Blue, 15"" Wheel","Barracuda","130cm x 20cm x 76xm","Black",NA,NA,NA,"12 Years +",1
"DIY","CYC","445351","Barracuda Draco 1 Mountain Bike Black/Blue, 17"" Wheel","Barracuda","130cm x 20cm x 76xm","Black",NA,NA,NA,"12 Years +",1
"DIY","CYC","445360","Barracuda Liberty Trekking Bike Silver/Black, 19""Wheel","Barracuda","130cm x 20cm x 76xm","Silver",NA,NA,NA,"12 Years +",1
"DIY","CYC","445361","Barracuda Liberty Trekking Bike Silver/Black, 21""Wheel","Barracuda","130cm x 20cm x 76xm","Silver",NA,NA,NA,"12 Years +",1
"DIY","CYC","445362","Barracuda Liberty Trekking Bike Silver/Black, 17""Wheel","Barracuda","130cm x 20cm x 76xm","Silver",NA,NA,NA,"12 Years +",1
"DIY","CYC","445363","Barracuda Liberty Trekking Bike Silver/Black, 19""Wheel","Barracuda","130cm x 20cm x 76xm","Silver",NA,NA,NA,"12 Years +",1
"DIY","CYC","337325","Bi- Tech Water Bottle With Cage","Bi-Tech","1 Pack",NA,"1",NA,NA,NA,0.833333333333333
"DIY","CYC","445340","Classic Touriste Commuter Bike White, 19"" Wheel","Classic","130cm x 20cm x 76xm","White",NA,"No",NA,NA,1
"DIY","CYC","258270","Wilko Stabiliser Kit Universal Fit","ETC","2 Pack",NA,"1",NA,NA,NA,0.833333333333333
"DIY","CYC","76690","Wilko Cycle Stand","ETC","1 Pack",NA,"1",NA,NA,NA,0.833333333333333
"DIY","CYC","445324","Flite Panic BMX Bike Pink 20in Wheel","Flite","108cm x 20cm x 59cm","Pink",NA,NA,NA,"7 - 12 Years",1
"DIY","CYC","445325","Flite Panic BMX Bike Green, 20"" Wheel","Flite","108cm x 20cm x 59cm","Green",NA,NA,NA,"7 - 12 Years",1
"DIY","CYC","445327","Flite Panic Mag BMX Bike Pink, 20"" Wheel","Flite","108cm x 20cm x 59cm","Pink",NA,NA,NA,"7 - 12 Years",1
"DIY","CYC","445328","Flite Turbo Six Speed Full Suspension Junior BikeWhite/Green, 20"" Wheel","Flite","108cm x 20cm x 59cm","Green",NA,NA,NA,"7 - 12 Years",1
"DIY","CYC","445329","Flite Delta Trials Bike Blue, 24"" Wheel","Flite","130cm x 20cm x 76xm","Blue",NA,NA,NA,"8 - 12 Years",1
