"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","DQ Score"
"TOI","SUN","315006","St Moriz Self Tan Applicator Mitt","St Moritz",NA,"1",0.8625
"TOI","SUN","315976","St Moriz Self Tan Lotion Instant 200ml","St Moritz","200ml","1",0.95
"TOI","SUN","315977","St Moriz Self Tan Mousse Instant Medium 200ml","St Moritz","200ml","1",0.95
"TOI","SUN","316200","St Moriz Self Tan Mousse Instant Dark 200ml","St Moritz","200ml","1",0.95
"TOI","SUN","316201","St Moriz Self Tan Mist Instant Medium 150ml","St Moritz","150ml","1",0.95
"TOI","SUN","430644","St Moriz Pro Fast Self Tan Foam 150ml","St Moritz",NA,"1",0.8625
"TOI","SUN","449629","St Moriz Professional Instant Tan","St Moritz",NA,"1",0.8625
