"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","Coverage","DQ Score"
"KIT","BAP","435780","Wilko Sanctuary Jar Large","Wilko",NA,NA,NA,NA,NA,NA,NA,0.75
"KIT","BAP","435781","Wilko Sanctuary Jar Medium","Wilko",NA,NA,NA,NA,NA,NA,NA,0.79
"KIT","BAP","435782","Wilko Sanctuary Jar Small","Wilko",NA,NA,"1",NA,NA,NA,NA,0.86
"KIT","BAP","452433","Wilko Storage Jar Black Board Lid 0.5L","Wilko","0.5L",NA,"1",NA,NA,NA,NA,1
"KIT","BAP","452434","Wilko Storage Jar Black Board Lid 1L","Wilko","1L",NA,"1",NA,NA,NA,NA,1
"KIT","BAP","452435","Wilko Storage Jar Black Board Lid 1.5L","Wilko","1.5L",NA,"1",NA,NA,NA,NA,1
"KIT","BAP","452436","Wilko Round Clip Lid Jar Smal","Wilko","Small",NA,"1","Glass",NA,NA,NA,0.9
"KIT","BAP","452437","Wilko Hexagonal Clip Lid Jar Small","Wilko","Small",NA,"1","Glass",NA,NA,NA,0.9
"KIT","BAP","452438","Wilko Slim Clip Lid Jar Small","Wilko","Small",NA,"1","Glass",NA,NA,NA,0.9
"KIT","DIN","408315","Wilko Slate Heart Shaped Sign","Wilko",NA,NA,"1",NA,NA,NA,NA,0.86
"KIT","DIN","447363","Wilko Clip Top Water Bottle With Chalk Heart","Wilko","10cm x 10cm x 27.2cm","Clear","1",NA,NA,NA,NA,0.941666666666667
"KIT","DIN","447364","Wilko Clip Top Jar with Chalk Heart","Wilko","13cm x 10cm x 21.5cm",NA,"1",NA,NA,NA,NA,0.93
"KIT","DIN","447409","Wilko Stemmed Wine Glass Blue","Wilko",NA,NA,NA,NA,NA,NA,NA,1
"KIT","DIN","447416","Red Stemmed Wine Glass","Wilko",NA,NA,NA,NA,NA,NA,NA,0.95
"KIT","DIN","447418","Wilko Stemmed Wine Glass Purple","Wilko","8.5cm x 8.5cm x 22.5cm",NA,"1",NA,NA,NA,NA,0.93
"KIT","DIN","453109","Wilko Wine Glass","Wilko",NA,NA,"1",NA,NA,NA,NA,0.825
"KIT","DIN","453110","Wilko Glass Bottle with Wooden Lid","Wilko",NA,NA,"1",NA,NA,NA,NA,0.825
"KIT","GLA","428470","Wilko Tumbler Beehive Pink","Wilko",NA,NA,"1",NA,NA,NA,NA,0.825
"KIT","GLA","428471","Wilko Tumbler Beehive Blue","Wilko",NA,NA,"1",NA,NA,NA,NA,0.825
"KIT","GLA","428472","Wilko Tumbler Beehive Green","Wilko",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","GLA","429986","Drinks Dispenser Clear 7L","Wilko","7 Litre","Clear","1",NA,NA,NA,NA,0.891666666666667
"KIT","GLA","431243","Wilko Milk Bottle Set 6pcs","Wilko",NA,NA,NA,NA,NA,NA,NA,0.766666666666667
"KIT","GLA","431244","Wilko Coloured Milk Bottle Set 6pcs","Wilko",NA,"Multi","6",NA,NA,NA,NA,0.883333333333333
"KIT","GLA","447437","Wilko Sundae Glass 8cm","Wilko","8cm x 8cm x 18.6cm",NA,"1",NA,NA,NA,NA,0.883333333333333
"KIT","HOM","22556","Wilko Demijohn Container Glass 4.5L","Wilko","4.5L",NA,"1","Glass","No",NA,NA,0.65
"KIT","MUG","450532","Wilko Mug Chocolate Slogan","Wilko","11cm x 8cm x 12cm",NA,"1",NA,NA,NA,NA,0.93
"KIT","SPC","421067","Latte Mug Gift Set of 2","Wilko","10x16cm",NA,"4","Glass,Stainless","No","270ml","Glassware",0.6
"KIT","SPC","421110","Wilko Wine Glass 700ml","Wilko","7.5x25cm",NA,"1","Glass","No","750ml","Glassware",0.65
"KIT","SPC","439818","Beer Glass 2.5 pint","Wilko",NA,NA,"1",NA,"No",NA,NA,0.6
"KIT","TAB","447450","Wilko Cork Placemat","Wilko",NA,NA,NA,NA,NA,NA,NA,1
