"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Power","Age","Model Number","DQ Score"
"XMD","LIG","420587","Wilko Christmas 50 Multifunction LED Timer LightsBattery Operated Warm White with Black Cable","Wilko","4.7m","White","1","PVC, Copper","No",NA,"Mains Operated",NA,"JSBK050DX-2/W1",0.65
"XMD","LIG","420588","Wilko Christmas 50 Multifunction LED Timer LightsBattery Operated Multicoloured with Black Cable","Wilko","4.7m","Multi","1","PVC, Copper","No",NA,"Mains Operated",NA,"JSBK050DX-2/M",0.65
"XMD","LIG","420636","Wilko 20 Battery Operated Christmas Lights WhiteGreen Cable","Wilko","2.2m","Green","1","PVC, Copper","No",NA,"2 x AA Included",NA,NA,0.65
"XMD","LIG","420893","Wilko Christmas Acrylic LED Light Up ReindeerLarge","Wilko","19 x 50 x 49cm",NA,"1","PVC, Copper","No",NA,"Mains Operated",NA,NA,0.65
"XMD","LIG","439996","Wilko 20 Battery Operated Mini Ball ChristmasLights Warm White","Wilko","1.6m","White","1","PVC, Copper","No",NA,"2 x AA Included",NA,NA,0.65
"XMD","LIG","439998","Wilko Nordic Country Christmas Musical WoodenVillage Battery Operated","Wilko","27.5 x 15 x 16.5cm","Brown","1","Wood","No",NA,"3 x AA Not Included",NA,"JSB003DJ83-N/W1",0.65
"XMD","LIG","439999","Wilko Frosted Christmas 20 LED Lights BatteryOperated Metal Balls Warm White with Clear Cable","Wilko","290cm","Metal","1","Metal","No",NA,"2 x AA Not Included",NA,"JSB020D(D53)-N/S",0.65
"XMD","LIG","440003","Wilko Rustic Glow Christmas Decoration WoodenSnowflake Bridge Battery Operated","Wilko","31.8 x 5 x 20cm","Brown","1","Wood","No",NA,"2 x AA Not Included",NA,"JSB011DJ82-N/W1",0.65
"XMD","LIG","440006","Wilko Christmas 200 Static LED LightsMulticoloured with Green Cable","Wilko","19m","Green","1","PVC, Copper","No",NA,"Mains Operated",NA,"JSG200LD-N/M",0.65
"XMD","LIG","440007","Wilko Christmas 100 Static LED LightsMulticoloured Green Cable","Wilko","8.4m","Green","1","PVC, Copper","No",NA,"Mains Operated",NA,NA,0.65
