"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Assembly","DQ Score"
"GAR","PCL","430513","Scheurich Indoor Plant Pot Dark Red 16cm","Scheurich","16cm","Red","No",1
"GAR","PCL","444493","Scheurich Indoor Plant Pot Pannacotta 12cm","Scheurich","Planter 12cm","White","No",1
