"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Material","Assembly","Washable","Power","Age","DQ Score"
"TOY","COL","438572","Wilko Dino Figure Assortment","Wilko","Multi","1","Plastic","No","Hand Wash Only",NA,"From Birth",0.65
"TOY","PRE","417355","Wilko Safari Talk Back Elephant/Zebra Assortment","Wilko","Multi","1",NA,NA,NA,"3x AA Batteries Included","3 Years +",0.95
"TOY","PRE","418002","Wilko Safari Talk Back Lion/Giraffe Assortment","Wilko","Multi","1",NA,NA,NA,"3x AA Batteries Included","3 Years +",0.95
"TOY","PRE","456232","Wilko Safari Baby Giraffe Plush","Wilko","Multi","1",NA,NA,NA,NA,"From Birth",0.941666666666667
"TOY","PRE","456233","Wilko Safari Baby Giraffe Comforter","Wilko","Multi","1",NA,NA,NA,NA,"From Birth",0.941666666666667
"TOY","PRE","456234","Wilko Safari Baby Giraffe Rattle","Wilko","Multi","1",NA,NA,NA,NA,"From Birth",0.941666666666667
"TOY","PRE","456235","Wilko Safari Hippo Plush Rattle","Wilko","Multi","1",NA,NA,NA,NA,"From Birth",0.941666666666667
"TOY","PRE","456236","Wilko Safari Lion Plush Rattle","Wilko","Multi","1",NA,NA,NA,NA,"From Birth",0.941666666666667
"TOY","PRE","456237","Wilko Safari Zebra Plush Rattle","Wilko","Multi","1",NA,NA,NA,NA,"From Birth",0.941666666666667
"TOY","PRE","456238","Wilko Safari Plush Comforter Assorted","Wilko","Multi","1",NA,NA,NA,NA,"From Birth",0.941666666666667
"TOY","PRE","456239","Wilko Safari Hippo / Giraffe Plush Assorted","Wilko","Multi","1","Polyester","No",NA,NA,"From Birth",0.65
"TOY","PRE","456241","Wilko Safari Lion Plush","Wilko","Multi","1",NA,NA,NA,NA,"From Birth",0.941666666666667
"TOY","PRE","456243","Wilko Safari Buddies Plush Toy Assorted","Wilko","Multi","1",NA,NA,NA,NA,"From Birth",0.941666666666667
"TOY","PRE","456245","Wilko Safari Monkey/Lion Pram Hanger","Wilko","Multi","1",NA,NA,NA,NA,"From Birth",0.941666666666667
