"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"PET","CAT","410510","Wilko Cat Treat Sticks Salmon and Trout 10 x 5g","Wilko","10x5g","1",NA,1
"PET","CAT","410511","Wilko Cat Treat Sticks Chicken and Liver 10 x 5g","Wilko","10x5g","1",NA,1
"PET","CAT","430585","Wilko Cat Treat Fish Mix 60g","Wilko","60g","1",NA,1
"PET","CAT","430586","Wilko Cat Treat Dental 50g","Wilko","50g","1",NA,1
"PET","SPC","439356","Wilko Christmas Dog Treats Chewy Strips Turkeyand Sage 20pk","Wilko",NA,"20","No",0.65
"PET","SPC","439357","Wilko Christmas Cat Treats Filled Pockets withTurkey 60g","Wilko","60g","1","No",0.65
"PET","TRT","166178","Wilko Dog Treats Chewy Beef Flavour 20pk","Wilko","180g","20",NA,1
"PET","TRT","166179","Wilko Dog Treats Chewy Chicken Flavour 20pk","Wilko","180g","20",NA,1
"PET","TRT","166180","Wilko Dog Treats Chewy Liver Flavour 20pk","Wilko","180g",NA,NA,0.9125
"PET","TRT","225410","Wilko Dog Treats Chewy Bacon 85g","Wilko","85g",NA,NA,0.9125
"PET","TRT","225413","Wilko Dog Treats Meaty Sticks Chicken 15pk","Wilko","108g","15",NA,1
"PET","TRT","228587","Wilko Dog Treats Dental Sticks 7pk","Wilko","182g","7",NA,1
"PET","TRT","228589","Wilko Dog Treats Chewy Log Bone 2pk","Wilko","100g","2pk",NA,1
"PET","TRT","254743","Wilko Dog Treats Chewy Log Small 4pk","Wilko","180g","4",NA,1
"PET","TRT","265842","Wilko Dog Treats Chewy Dental Stick  28pk","Wilko","728g","28",NA,1
"PET","TRT","290450","Wilko Dog Treats Dental Sticks 7pk","Wilko","Small","7pk",NA,1
"PET","TRT","303711","Wilko Dog Treats Beef for Adult Dogs 7pk","Wilko","7x11g","7",NA,1
"PET","TRT","303712","Wilko Dog Treats Crunchy Tripe Stick 10pk","Wilko","60g","10",NA,1
"PET","TRT","330117","Wilko Dog Treats Dental Chewy Sticks 7pk","Wilko","Large","7pk",NA,1
"PET","TRT","348911","Wilko Dog Treats Mini Dental Stick 170g","Wilko","170g","1",NA,1
"PET","TRT","410492","Wilko Dog Treat Fruit Flavour Log Bone 80g","Wilko","80g","1",NA,1
"PET","TRT","416960","Wilko Dog Treats Meaty Twists with Chicken","Wilko","105g","6",NA,1
"PET","TRT","430575","Wilko Dog Treats Deep Clean Dental Chew 90g","Wilko","90g",NA,NA,0.9125
"PET","TRT","430576","Wilko Dog Treats Meat Filled Dental Sticks 7pk180g","Wilko","180g","7",NA,1
"PET","TRT","430577","Wilko Dog Treats Meaty Log Twist 2 x 100g","Wilko","2x100g","2",NA,1
"PET","TRT","430578","Wilko Dog Treats Chewy Mixed Strips 20pk 180g","Wilko","180g","20",NA,1
"PET","TRT","430580","Wilko Dog Treats Joint Aid Sticks 7pk 175g","Wilko","175g","7",NA,1
"PET","TRT","430581","Wilko Dog Treats Cheesy Bites 140g","Wilko","140g","1",NA,1
"PET","TRT","430583","Wilko Dog Treat T-Bone Steaks 150g","Wilko","150g","1",NA,1
"PET","TRT","432731","Wilko Dog Treats Dental Minty Sticks Medium/Large28pk","Wilko","728g","28",NA,1
"PET","TRT","453455","Wilko Dog Treat Medley 140g","Wilko","140g","6",NA,1
"PET","TRT","453456","Wilko Mini Bone Dog Training Treats 140g","Wilko","140g","6",NA,1
"PET","TRT","453457","Wilko Deli Beef Sausages Dog Treat 60g","Wilko","3cm x 12cm x 16cm","12",NA,1
"PET","TRT","456186","Wilko Meaty Sticks Mixed - Beef, Chicken & Liver15pk","Wilko","135g","13",NA,1
