"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","DQ Score"
"HOM","CLO","341277","Wilko Station Clock Cream","Wilko","6.5 x 51.8 x 52.8cm","Cream","1",NA,NA,NA,0.941666666666667
"HOM","CLO","341278","Wilko Giant Station Clock Black","Wilko","6.5 x 51.8 x 52.8cm","Black","1",NA,NA,NA,0.941666666666667
"HOM","CLO","452427","Wilko Station Clock Giant Red","Wilko","Dia: 47.8cm x Depth: 5.5cm",NA,"1",NA,NA,NA,0.883333333333333
"HOM","CLO","452428","Wilko Station Clock Giant Grey","Wilko","Dia: 47.8cm x Depth: 5.5cm",NA,"1",NA,NA,NA,0.883333333333333
"HOM","COO","296272","Wilko Lantern Chrome Medium","Wilko","Large","Metal","1",NA,NA,NA,0.941666666666667
"HOM","COO","296325","Wilko Insense Oil Burner White","Wilko","Single","Cream",NA,NA,NA,NA,0.93
"HOM","COO","327761","Wilko Lantern Small Chrome Effect","Wilko","Small","Silver","1",NA,"No",NA,0.65
"HOM","COO","341043","Wilko Metal Square Lantern","Wilko",NA,"Clear","1",NA,NA,NA,0.883333333333333
"HOM","COO","406819","Wilko Leather Handle Wall Clock","Wilko",NA,NA,"1",NA,NA,NA,0.825
"HOM","COO","406959","Wilko Hammered Effect Bowl Gold Sahara Range","Wilko",NA,NA,NA,"Metal","No",NA,0.883333333333333
"HOM","COO","418030","Wilko Lace Effect Glass Bowl Lilac Reminisce Range","Wilko","Bowl 27cm",NA,NA,"Glass","No",NA,0.941666666666667
"HOM","COO","427181","Wilko Pot Pourri Bowl White","Wilko","27.5 x 12.5 x 7.5cm",NA,"1",NA,NA,NA,0.93
"HOM","COO","427192","Wilko Live Laugh Love Multi Frame","Wilko","4.5 x 22.1 x 22.8cm","Cream",NA,"Wood","No",NA,1
"HOM","COO","427195","Wilko Wood Multi Picture Frame Wall Art","Wilko","1.6 x 49 x 49cm","Cream","1","Wood","No",NA,0.65
"HOM","COO","427201","Wilko Wooden Hanging Plaque Set of 3","Wilko","2 x 18 x 30cm",NA,NA,"Wood","No",NA,0.941666666666667
"HOM","COO","427206","Wilko Glass Tealights Set of 2","Wilko","8.2 x 17 x 9.5cm",NA,NA,"Glass","No",NA,0.941666666666667
"HOM","COO","438275","Wilko LED Metal Star Red","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","438278","Wilko Copper Effect Lantern Medium","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","438281","Wilko Stag Head","Wilko","W: 27cm x D: 18cm x H: 40cm",NA,NA,"Polyresin","No",NA,0.941666666666667
"HOM","COO","438283","Wilko Wooden Light Up Star","Wilko","W: 36cm x D: 5cm x H: 36cm",NA,"1",NA,NA,NA,0.883333333333333
"HOM","COO","446495","Wilko Geo Photo Frame","Wilko","22 x 16.9 x 1.5cm","Metal","1","Aluminium","No",NA,0.65
"HOM","COO","446912","Wilko Ceramic Blossom Vase","Wilko","22.5 x 9 x 9cm","White",NA,"Dolomite","No",NA,1
"HOM","COO","447081","Wilko Cork Board","Wilko","42 x 30 x 2cm","Cream",NA,"MDF/Cork","No",NA,1
"HOM","COO","447145","Wilko Rattan Drawers","Wilko","12 x 32 x 12cm","Cream",NA,"Paper/Wire","No",NA,1
"HOM","COO","447148","Wilko Rattan Letter Holder","Wilko","20 x 25 x 8cm","Cream",NA,"Paper/Wire","No",NA,1
"HOM","COO","447151","Wilko Ceramic 3D Flower Vase","Wilko","20 x 11.4 x 11.4cm","Green",NA,"Stoneware","No",NA,1
"HOM","COO","447154","Wilko Set of 3 3D Flower Bud Vase","Wilko","9 x 8 x 8cm","Multi",NA,"Stoneware","No",NA,1
"HOM","COO","455549","Wilko Geo Wooden Frame 19 x 23cm","Wilko","W: 19cm x D: 1.5cm x H: 23cm",NA,"1","MDF wih Paulownia Veneer","No","Wipe Clean Only",0.65
"HOM","COO","455572","Wilko Stag Doorstop","Wilko","14 x 10 x 37cm",NA,"1",NA,"No",NA,0.65
"HOM","COO","455574","Wilko Let It Snow Plaque","Wilko","W: 30cm x D: 1.2cm x H: 44cm",NA,"1",NA,NA,NA,0.93
"HOM","COO","455683","Wilko Home Words Fabric Pin Board","Wilko","W: 40cm x D: 1cm x H: 40cm",NA,"1","MDF, Fabric","No",NA,0.65
"HOM","COO","455945","Wilko Silver Leaf Tealight Holder","Wilko","W: 8.5cm x D: 8.5cm x H: 8cm",NA,NA,"Stoneware","No",NA,0.941666666666667
"HOM","COO","456074","Wilko Fretwork Metal Hurricane Vase","Wilko","Dia: 11cm x H: 15cm","Gold",NA,"Iron","No",NA,1
