"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","DQ Score"
"GAR","COM","159539","Miracle-Gro Potting Mix 8L","Miracle-Gro","8L","1","No",0.65
"GAR","FER","8354","Levington Tomorite Liquid Tomato Fertillser 1L","Levington","1L",NA,NA,0.9125
"GAR","FER","199748","Miracle-Gro All Purpose Concentrated Liquid PlantFood 1L","Miracle-Gro","1L","1",NA,1
"GAR","FER","70899","Miracle Gro All Purpose Soluble Plant Food 1kg","Miracle-Gro","1kg",NA,NA,0.8625
"GAR","GRA","281346","Evergreen Autumn 2 in 1 Lawn Care Refill 3.5kg","Evergreen","3.5kg","1",NA,0.93
"GAR","WEE","100877","Roundup Fast Action Weedkiller 1L","Round Up","1L","1",NA,0.95
"GAR","WEE","313328","Roundup Weedkiller Gel 150ml","Round Up","150ml","1",NA,0.95
"GAR","WEE","263130","Patio Magic 2.5L","Scotts","2.5L",NA,NA,0.8625
"GAR","WEE","285419","Weedol Gun Rootkiller Plus 1L","Weedol","1L",NA,NA,0.9125
"GAR","WEE","330962","Weedol Rootkill Plus Weedkiller 8 Tubes","Weedol",NA,"6",NA,0.9125
"GAR","WEE","448642","Weedol Ultra Tough 6 Tubes","Weedol",NA,"8",NA,0.86
