"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Age","Model Number","DQ Score"
"XMD","CRA","320983","Wilko Christmas Craft Pull Bows Red 4pk","Wilko",NA,"Red","4","Polypropylene","No",NA,NA,0.65
"XMD","WRA","335208","Wilko Rustic Glow Jute Ribbon Natural 2m","Wilko","2m",NA,"1","Polyester","No",NA,NA,0.65
"XMD","WRA","401498","Wilko Rustic Glow Natural Jute String 2pk","Wilko","2 x 10m","Brown","2","Paper","No",NA,NA,0.65
"XMD","WRA","419560","Wilko Nordic Bakers Twine Red and White Assorted20m","Wilko","Assorted","Multi","1","Paper","No","Not for children",NA,0.65
"XMD","WRA","419562","Wilko Nordic Accessory Pack","Wilko","Assorted","Multi","1","Polypropylene","No","Not for children",NA,0.65
"XMD","WRA","419565","Wilko Christmas Ribbon Silver Glitter 3mEnchantment","Wilko","3m","Silver","1","Polypropylene","No","Not for children",NA,0.65
"XMD","WRA","419566","Wilko Frosted Glitter Bow and Ribbon AccessoryPack","Wilko","Assorted","Silver","1","Polypropylene","No","Not for children",NA,0.65
"XMD","WRA","419567","Wilko Frosted Christmas Bow and Ribbon AccessoryPack","Wilko","Assorted","Multi","1","Polypropylene","No","Not for children",NA,0.65
"XMD","WRA","438645","Wilko Frosted Christmas Organza Ribbon Silver 3m","Wilko","3m","Silver","1","Organza","No","3+",NA,0.65
"XMD","WRA","438649","Wilko Starry Night Christmas Organza Ribbon Gold3m","Wilko","3m","Multi","1","Organza","No","3+",NA,0.65
"XMD","WRA","438650","Wilko Starry Night Bow and Ribbon Accessory Pack","Wilko","Assorted","Blue","1","Polypropylene","No","3+",NA,0.65
"XMD","WRA","438651","Wilko Starry Night Glitter Bow and RibbonAccessory Pack","Wilko","Assorted","Gold","1","Polypropylene","No","3+",NA,0.65
"XMD","WRA","438703","Wilko Nordic Wide Jute Ribbon Red 2m","Wilko","3m","Red","1","Polyester","No",NA,"PR1710E-15M3",0.65
