"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Washable","Power","DQ Score"
"DIY","ELE","5360240","Wilko Junction Box Round 30amp","Wilko","30AMP","White",NA,NA,NA,NA,0.883333333333333
"DIY","ELE","5362540","Wilko Multisocket 13amp 2way","Wilko","13AMP","White",NA,NA,NA,NA,0.93
"DIY","ELE","5363040","Wilko Multisocket 13amp 3way","Wilko","13AMP","White",NA,NA,NA,NA,0.93
"DIY","ELE","5363940","Wilko Shaver Adaptor Fused 1amp","Wilko","1AMP","White",NA,NA,NA,NA,0.883333333333333
"DIY","ELE","5365440","Wilko Lamp Holder 1/2in Push Bar","Wilko",".5in",NA,NA,NA,NA,NA,0.825
"DIY","ELE","5374640","Wilko Pattress Box 2 Gang 45mm","Wilko","45mm","White","1","Plastic",NA,NA,1
"DIY","ELE","60677","Wilko 3 Pin Plug 13amp White","Wilko","13AMP","White",NA,NA,NA,NA,0.883333333333333
"KIT","BAK","351463","Wilko Loaf Pan 1lb","Wilko","1lb","Metal","1",NA,NA,NA,1
"KIT","BAK","352654","Wilko Deep Square Cake Tin","Wilko","Square","Metal","1",NA,NA,NA,1
"KIT","BAK","352660","Wilko Loose Base Deep Cake Tin 8in","Wilko","21.5x21.5cm","Metal","1",NA,NA,NA,1
"KIT","BAK","305187","Wilko Best Roasting Tin 26 x 20 x 5cm","Wilko Best","26x20cm","Metal","1",NA,NA,NA,1
"KIT","BAK","305188","Wilko Best Roasting Tin 35 x 25 x 6cm","Wilko Best","35x23cmx6cm","Metal","1",NA,NA,NA,1
"KIT","BAK","305190","Wilko Best Baking Tray 28.5 x 27.4cm","Wilko Best","39.5x27cm","Metal","1",NA,NA,NA,1
"KIT","BAK","305191","Wilko Best Cake Tin Square 24 x 24 x 5cm","Wilko Best","24x24cm","Metal","1",NA,NA,NA,1
"KIT","BAK","305192","Wilko Best Loaf Tin Medium 24.5 x 15 x 6.5cm","Wilko Best","900g","Metal","1","C.STEEL,TEFLON COAT.",NA,NA,0.95
"KIT","BAK","305193","Wilko Best Oven Tray Steel 34 x 24 x 1.7cm","Wilko Best","32x24cm","Metal",NA,"C.STEEL,TEFLON COAT.",NA,NA,0.9
"KIT","BAK","318461","Wilko Best Cake Tin 22.7 x 7cm","Wilko Best","9in","Metal","1",NA,NA,NA,1
"KIT","BAK","318534","Wilko Best Cake Tin 8in","Wilko Best","8in","Metal",NA,NA,NA,NA,0.93
"KIT","BAK","352891","Wilko Spring Form Cake Tin 10in","Wilko Best","25.5x25.5cm","Metal","1",NA,NA,NA,0.95
"KIT","HOL","169339","Wilko Super Deluxe Wok 30cm","Wilko","30cm","Black",NA,NA,NA,NA,0.93
"KIT","HOL","218333","Wilko Chip Pan 22cm","Wilko","22cm","Silver","1",NA,NA,NA,0.941666666666667
"KIT","HOL","218336","Wilko Egg Poacher Stainless Steel 20cm","Wilko","20cm",NA,NA,NA,NA,NA,0.825
"KIT","HOL","230844","Wilko Saucepan Set Stainless Steel 5pcs","Wilko","5 Piece","Silver","1",NA,"Washable",NA,1
"KIT","HOL","260990","Wilko Milkpan Stainless Steel 14cm","Wilko","14cm","Silver","1",NA,NA,NA,0.941666666666667
"KIT","HOL","260991","Wilko Kitchen Saucepan With Lid Stainless Steel 16cm","Wilko","16cm","Silver","1",NA,"Do Not Wash",NA,1
"KIT","HOL","260996","Wilko Saucepan Stainless Steel 18cm","Wilko","18cm","Silver","1",NA,"Do Not Wash",NA,1
"KIT","HOL","260997","Wilko Kitchen Saucepan With Glass Lid Stainless Steel 20cm","Wilko","20cm","Silver","1",NA,"Do Not Wash",NA,1
"KIT","HOL","260998","Wilko 3 Tier Steamer Stainless Steel 18cm","Wilko","18cm","Silver",NA,NA,NA,NA,0.883333333333333
"KIT","HOL","260999","Wilko Casserole Dish Stainless Steel 24cm","Wilko","24cm",NA,NA,NA,NA,NA,0.86
"KIT","HOL","318402","Wilko Long Handled Wok Black 35cm","Wilko","35cm","Black","1",NA,NA,NA,1
"KIT","HOL","142516","Wilko Functional Wok Black 24cm","Wilko Functional","24cm","Black","1",NA,NA,NA,1
"KIT","HOL","183043","Wilko Functional Milkpan Non Stick Black14cm","Wilko Functional","14cm","Black",NA,NA,NA,NA,0.883333333333333
"KIT","HOL","183044","Wilko Functional Saucepan Non Stick Black 16cm","Wilko Functional","16cm","Black",NA,NA,NA,NA,0.883333333333333
"KIT","HOL","183046","Wilko Functional Saucepan Non Stick Black 20cm","Wilko Functional","20cm","Black",NA,NA,"Do Not Wash",NA,0.941666666666667
"KIT","HOL","220897","Wilko Functional Non-Stick Frypan Set Black 2pcs","Wilko Functional","2 Piece","Grey","2pcs",NA,NA,NA,0.941666666666667
"KIT","HOL","220901","Wilko Functional Non Stick Pan SetBlack 5pcs","Wilko Functional","5 Piece","Black","5pcs",NA,NA,NA,0.941666666666667
