"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"HOM","LIG","326026","Wilko Flush Fitting Ceiling Light Chrome Effect","Wilko","Single","Silver",NA,"No",0.9
"HOM","LIG","326048","Wilko Traditional Jewelled Pleated Shade Cream","Wilko","28cm","Cream",NA,NA,0.93
"HOM","LIG","326053","Wilko 2 Tone Acrylic Pendant Smoke","Wilko","Single","Grey","1",NA,1
"HOM","LIG","326059","Wilko Oval Twist Beaded Pendant Shade Clear","Wilko","21cm","Clear",NA,NA,0.93
"HOM","LIG","326060","Wilko Beaded Oval Pendant Shade Clear","Wilko","25cm","Clear",NA,NA,0.93
"HOM","LIG","326063","Wilko Marie Therese Chandelier 3 Arm Clear","Wilko","Single","Clear",NA,"Yes",0.9
"HOM","LIG","326064","Wilko Marie Therese Chandelier 5 Arm Black","Wilko","Single",NA,"1","Yes",0.9
"HOM","LIG","326065","Wilko Marie Therese Chandelier 5 Arm Clear","Wilko","Single","Clear",NA,"Yes",0.9
"HOM","LIG","326066","Wilko Chandelier 5 Arm Smoke With Teal","Wilko","Single","Green",NA,"Yes",0.9
"HOM","LIG","327714","Wilko Marie Therese Chandelier 3 Arm Black","Wilko","Single","Black","1","Yes",0.95
"HOM","LIG","329153","Wilko Brass Beaded Pendant Mocha","Wilko","27cm","Brown","1",NA,1
"HOM","LIG","329166","Wilko Beaded Ball Pendant Shade Teal","Wilko","22cm","Blue","1",NA,1
"HOM","LIG","341332","Wilko Acrylic Drop Shade Purple","Wilko",NA,"Purple","1",NA,0.93
"HOM","LIG","413907","Wilko Marie Therese Light Fitting 5 Arm Champagne","Wilko",NA,NA,"1","No",0.85
"HOM","LIG","413910","Wilko Global Pendant Beaded Bronze","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","413912","Wilko Beaded Global Plated Lamp Bronze","Wilko",NA,NA,"1","No",0.85
"HOM","LIG","436434","Wilko Vintage Pendant Cream","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","436435","Wilko Vintage Pendant Grey","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","436436","Wilko Vintage Pendant Red","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","436437","Wilko Vintage Pendant Black","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","436438","Wilko Vintage Pendant Duck Egg","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","436439","Wilko Vintage Pendant Sage","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","436441","Wilko Vintage Pendant Chrome Finish","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","436442","Wilko Vintage Pendant Copper Effect","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","436840","Wilko Sphere Pendant Polished Nickel","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","436841","Wilko Audrey Pendant Clear","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","436842","Wilko Audrey Table Lamp Clear","Wilko",NA,NA,"1","No",0.85
"HOM","LIG","436843","Wilko Florence Table Lamp Black","Wilko",NA,NA,"1","No",0.85
"HOM","LIG","437111","Wilko Morrocan Sphere Pendant Bronze","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","441905","Wilko Beaded Global Pendant Plated Finish","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","441906","Wilko Global Table Lamp Plated Finish","Wilko",NA,NA,"1","No",0.85
"HOM","LIG","456307","Wilko Vintage Pendant Satin Brass","Wilko","30 x 30 x 16cm",NA,"1",NA,0.93
"HOM","LIG","456308","Wilko Non Elec Pendant Smoked","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","456309","Wilko Shade Satin Brass Laser Cut Metal","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","456310","Wilko Pendant Clear Beehive","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","456312","Wilko Pendant Pink Beehive","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","456313","Wilko Pendant Grey Beehive","Wilko",NA,NA,"1",NA,0.86
"HOM","LIG","456314","Wilko Lamp Silver Mirror","Wilko",NA,NA,"1","No",0.85
"HOM","LIG","436839","Wilko Paper Floor Lamp","Wilko Functional",NA,NA,"1","No",0.8
