"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Model Number","DQ Score"
"HOM","CUT","455665","Wilko Grey and White Check Cushion 43x43","Wilko","43 x 43cm",NA,"1",NA,"No",NA,NA,0.65
"HOM","CUT","455728","Wilko Grey Check Throw 125 x 150cm","Wilko","125 x 150cm","Grey","1","100% acrylic front/100% polyester reverse","No","Wash at 30",NA,0.65
"HOM","CUT","455736","Wilko Purple Ultra Soft Throw 125 x 150cm","Wilko","125 x 150cm","Purple","1","Polyester","No","Wash at 40",NA,0.65
"HOM","DUV","417737","Waffle Throw Silver 200 x 240cm","Wilko","200 x 240cm","Silver","1","Polycotton",NA,"Hand Wash Only",NA,0.95
"HOM","DUV","417738","Wilko Waffle Throw Mink 200 x 240cm","Wilko","200 x 240cm","Brown","1","100% Polyester","No","Hand Wash Only",NA,0.65
"HOM","DUV","417739","Wilko Waffle Throw Chocolate 200 x 240cm","Wilko","200 x 240cm","Brown","1","Polycotton",NA,"Hand Wash Only",NA,1
"HOM","DUV","426762","Wilko Knitted Cushion Duck Egg 43 x 43cm","Wilko","43 x 43cm","Blue","1",NA,NA,NA,NA,0.9
"HOM","DUV","426763","Wilko Knitted Throw Duck Egg 127 x 152cm","Wilko","127 x 152cm","Blue","1",NA,NA,NA,NA,0.9
"HOM","DUV","426767","Wilko Knitted Cushion Plum 43 x 43cm","Wilko","43 x 43cm","Purple","1",NA,NA,NA,NA,0.9
"HOM","DUV","426768","Wilko Knitted Throw Plum 127 x 152cm","Wilko","127 x 152cm","Purple","1",NA,NA,NA,NA,0.9
"HOM","DUV","426815","Wilko Knitted Cushion Taupe 43 x 43cm","Wilko","43 x 43cm","Brown","1",NA,NA,NA,NA,0.9
"HOM","DUV","426816","Wilko Knitted Throw Taupe 127 x 152cm","Wilko","127 x 152cm","Brown","1",NA,NA,NA,NA,0.9
"HOM","DUV","426820","Wilko Knitted Cushion Charcoal 43 x 43cm","Wilko","43 x 43cm","Grey","1",NA,NA,NA,NA,0.9
"HOM","DUV","426821","Wilko Knitted Throw Charcoal 127 x 152cm","Wilko","127 x 152cm","Grey","1",NA,NA,NA,NA,0.9
"HOM","DUV","428252","Wilko Supersoft Throw Black 200 x 200cm","Wilko","200 x 200cm","Black","1",NA,NA,NA,NA,0.9
"HOM","DUV","428253","Wilko Supersoft Throw Cream 200 x 200cm","Wilko","200 x 200cm",NA,"1",NA,NA,NA,NA,0.85
"HOM","DUV","428254","Wilko Supersoft Throw Silver 200 x 200cm","Wilko","200 x 200cm",NA,"1",NA,NA,NA,NA,0.85
"HOM","DUV","456444","Wilko Soft Velvet Effect Throw Duck EggBlue 145 x 200cm","Wilko","145X200CM",NA,"1","100 % polyester",NA,"Wash at 30",NA,0.95
"HOM","DUV","456445","Wilko Soft Velvet Effect Cushion Duck EggBlue 30 x 50cm","Wilko","30X50CM",NA,"1","100 % polyester cover",NA,"Wash at 30",NA,0.95
"HOM","DUV","456446","Wilko Matt Quilted Throw Duck Egg Blue 200 x 200cm","Wilko","200X200CM",NA,"1","100 % polyester , wadding 100 % cotton",NA,"Wash at 30",NA,0.95
"HOM","DUV","456447","Wilko Soft Velvet Effect Cushion Pink 30 x 50cm","Wilko","30X50CM",NA,"1","100 % polyester cover",NA,"Wash at 30",NA,0.95
"HOM","DUV","456448","Wilko Soft Velvet Effect Throw Pink 145 x 200cm","Wilko","145X200CM",NA,"1","100 % polyester",NA,"Wash at 30",NA,0.95
"HOM","DUV","456449","Wilko Matt Quilted Throw Taupe 200 x 200cm","Wilko","200X200CM",NA,"1","100 % polyester , wadding 100 % cotton",NA,"Wash at 30",NA,0.95
"HOM","DUV","456450","Wilko Matt Quilted Throw Silver 200 x 200cm","Wilko","200X200CM",NA,"1","100 % polyester , wadding 100 % cotton",NA,"Wash at 30",NA,0.95
"HOM","DUV","456451","Wilko Moveable Sequin Cushion Silver 30 x 50cm","Wilko","30X50CM",NA,"1","100 % polyester with sequin embellishment",NA,"Dry Clean Only",NA,0.95
"HOM","DUV","456452","Wilko Soft Velvet Effect CushionCream 30 x 50cm","Wilko","30X50CM",NA,"1","100 % polyester cover",NA,"Wash at 30",NA,0.95
"HOM","DUV","456453","Wilko Soft Velvet Effect ThrowCream 145 x 200cm","Wilko","145X200CM",NA,"1","100 % polyester",NA,"Wash at 30",NA,0.95
"HOM","DUV","456454","Wilko Moveable Sequin Cushion Gold 30 x 50cm","Wilko","30X50CM",NA,"1","100 % polyester with sequin embellishment",NA,"Dry Clean Only",NA,0.95
"HOM","DUV","456455","Wilko Supersoft Throw Duck Egg Blue 200 x 200cm","Wilko","200X200CM",NA,"1","100 % polyester",NA,"Wash at 40",NA,0.95
"HOM","DUV","456456","Wilko Supersoft Throw Soft Pink 200 x 200cm","Wilko","200X200CM",NA,"1","100 % polyester",NA,"Wash at 40",NA,0.95
"HOM","DUV","456457","Wilko Black Waffle Throw 200 x 240cm","Wilko","200X240CM",NA,"1","100 % polyester",NA,"Wash at 40",NA,0.95
"TOI","XES","442206","Lee Stafford Chopstick Styler","Lee Stafford",NA,NA,NA,NA,NA,NA,"LSHT01",0.825
