"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Model Number","DQ Score"
"HOM","COO","100898","Wilko Wet Foam Bricks Green","Wilko","Single","Green",NA,NA,NA,NA,0.93
"HOM","COO","100899","Wet Foam Round Green 4pk","Wilko","Single","Green","4pk",NA,NA,NA,0.95
"HOM","COO","427162","Wilko Slate Heart Candle Plate","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","70121","Wilko Dri-Foam Brick","Wilko","Single",NA,NA,NA,NA,NA,0.86
"HOM","COO","70122","Wilko Round Dri-Foam Brick 4pk","Wilko","Single","Brown","4pk",NA,NA,NA,1
"KIT","DIN","328526","Wilko Placemat Rectangular Slate 2pk","Wilko","2 Pack",NA,"1",NA,NA,NA,0.93
"KIT","DIN","328527","Wilko Coaster Slate 4pk","Wilko","4 Pack","Grey","1",NA,NA,NA,1
"KIT","DIN","329011","Wilko Placemats Heart Shaped Slate 2 Pack","Wilko","2 Pack","Grey","1",NA,NA,NA,1
"KIT","DIN","329014","Wilko Slate Heart Coasters 4 pack","Wilko","4 Pack","Grey","1",NA,NA,NA,1
"KIT","DIN","435819","Wilko Tablemats and Coasters Sanctuary RangeSet of 8","Wilko",NA,NA,"8",NA,NA,NA,0.86
"KIT","DIN","435823","Wilko Coasters and Placemats Copper Colouredand Black Set of 8","Wilko",NA,NA,"8",NA,NA,NA,0.86
"KIT","DIN","445499","Wilko Coasters Flutter Design 4pk","Wilko","10x10cm",NA,"4 Pack","Cork Backed","No",NA,0.65
"KIT","DIN","445500","Wilko Tray Flutter Design Large","Wilko","48x31cm",NA,"1","Melamine","No","TTF1856-WIL",0.65
"KIT","DIN","445501","Wilko Worktop Saver Flutter Design","Wilko","30x40cm",NA,"1","Glass","No","GWS1856-WIL",0.65
"KIT","DIN","447462","Wilko Table Runner Neutral 30cm x 200cm","Wilko","300cm x 30cm","Cream","1",NA,NA,NA,1
"KIT","TAB","319661","Wilko Faux Leather Coasters Black and Purple4pk","Wilko","10x10cm","Black","4pk",NA,NA,NA,1
"KIT","TAB","319662","Wilko Faux Leather PlacematsBlack and Purple 4pk","Wilko","4 Pack","Black","1",NA,NA,NA,1
"KIT","TAB","319668","Wilko Faux Leather Coasters Chocolate And Cream4pk","Wilko","4 Pack","Brown","1",NA,NA,NA,1
"KIT","TAB","319669","Wilko Faux Leather Placemats Chocolate and Cream4pk","Wilko","4 Pack","Brown","1",NA,NA,NA,1
"KIT","TAB","427753","Wilko Utility Faux Leather Reversible PlacematsBlack and Grey 2pk","Wilko",NA,NA,NA,NA,NA,NA,0.79
"KIT","TAB","427754","Wilko Naturals Faux Leather Reversible PlacematsCream and Brown 2pk","Wilko",NA,NA,NA,NA,NA,NA,0.79
"KIT","TAB","427797","Wilko Pebble Design Placemats4pk","Wilko",NA,NA,NA,NA,NA,NA,0.79
"KIT","TAB","427798","Wilko Pebble Design Coasters4pk","Wilko",NA,NA,NA,NA,NA,NA,0.79
"KIT","TAB","447442","Wilko Placemat Flutter Design 4pk","Wilko","29x21.5cm",NA,"4","Cork Backed","No",NA,0.65
"KIT","TAB","447451","Wilko Teslin Placemat Red 40cm x 30cm","Wilko",NA,NA,NA,NA,NA,NA,1
"KIT","TAB","447452","Wilko Teslin Placemat Black 40cm x 30cm","Wilko","40cm x 30xm","Black","1",NA,NA,NA,1
"KIT","TAB","447453","Wilko Teslin Placemat Cream 40cm x 30cm","Wilko","40xm x 30cm","Cream","1",NA,NA,NA,1
"KIT","TAB","447454","Wilko Teslin Placemat Grey 40cm x 30cm","Wilko","40cm x 30xm","Grey","1",NA,NA,NA,1
"KIT","TAB","447458","Wilko Lap Tray Pebble Design","Wilko","33.5cm x 44cm","Cream","1",NA,NA,NA,1
"KIT","TAB","447459","Wilko Coasters Hen Design 4 Pack","Wilko","10cm x 10cm","Multi","4",NA,NA,NA,1
"KIT","TAB","447460","Wilko Placemats Hen Design 4 Pack","Wilko","29cm x 21.5cm","Multi","4",NA,NA,NA,1
"KIT","TAB","447461","Wilko Lap Tray Hen Design","Wilko","33.5cm x 44cm","Multi","1",NA,NA,NA,1
"KIT","TAB","447463","Wilko Teslin Placemat Beige 40cm x 30cm","Wilko","40xm x 30cm","Brown","1",NA,NA,NA,1
