"PSA_1","PSA_2","Article","Web Description","Brand","Size","DQ Score"
"TOI","SUN","250846","Wilko Insect Repellent Spray Extra Strength 100ml","Wilko","100ml",0.9125
"TOI","SUN","250847","Wilko Cool and Smooth Spray 50ml","Wilko","50ml",0.9125
