"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Washable","DQ Score"
"KIT","DIN","328597","Wilko Side Plate Colourplay Range Red and White","Wilko","22cm","Red","1","Dishwasher proof",1
"KIT","DIN","328598","Wilko Bowl Colourplay Range Red and White","Wilko","14cm","Red","1","Dishwasher proof",1
"KIT","DIN","328599","Wilko Mug Colourplay Range Red and White","Wilko","10.2cm x 8.7cm","Red","1","Dishwasher proof",1
"KIT","DIN","328606","Wilko Side Plate Colourplay Range Purple and White22cm","Wilko","22cm","Purple","1","Dishwasher proof",1
"KIT","DIN","328609","Wilko Bowl Colourplay Range Purple and White","Wilko","14cm","Purple","1","Washable",1
"KIT","DIN","328610","Wilko Mug Colourplay Range Purple and White","Wilko","10.2cm x 8.7cm","Purple","1",NA,1
"KIT","DIN","328619","Wilko Dinner Set Colourplay Range Red 12 pcs","Wilko","12 Piece","Red","1","Dishwasher proof",1
"KIT","DIN","328620","Wilko Dinner Set Purple Colourplay Range 12 Piece","Wilko","12 Piece","Purple","1",NA,1
"KIT","DIN","328662","Wilko Dinner Plate Colourplay Range Red and White","Wilko","27cm","Red","1","Dishwasher proof",1
"KIT","DIN","328663","Wilko Dinner Plate Colourplay Range Purple andWhite","Wilko","27cm","Purple","1","Dishwasher proof",1
"KIT","DIN","345692","Wilko Dinner Plate Heart Shaped White","Wilko","27cm","White","1",NA,1
"KIT","DIN","346118","Wilko Side Plate Heart Saped White","Wilko","18cm","White","1",NA,1
"KIT","DIN","407929","Wilko Utility Dinner Plate Grey 28.2cm","Wilko","3cm x28.2cm","Grey","1",NA,1
"KIT","DIN","407930","Wilko Utility Grey Side Plate 19cm","Wilko","2.7cm x 19cm","Grey","1",NA,1
"KIT","DIN","407931","Wilko Utility Bowl Grey 16cm","Wilko","7.5cm x16cm","Grey","1",NA,1
"KIT","DIN","407932","Wilko Utility Mug Grey","Wilko","11cm x 9cm","Grey","1",NA,1
"KIT","DIN","407934","Wilko Utility Tea Cup Large Grey","Wilko","7.5cm x 16.5cm","Grey","1",NA,1
"KIT","DIN","407949","Wilko Utility Dinner Set Grey 12 Piece","Wilko","12 piece","Grey","12",NA,1
"KIT","DIN","453111","Wilko Dinner Plate Reactive Glazed Dark Blue","Wilko",NA,NA,NA,NA,1
"KIT","DIN","453112","Wilko Side Plate Reactive Glazed Dark Blue","Wilko",NA,NA,NA,NA,1
"KIT","DIN","453113","Wilko Bowl  Reactive Glazed Dark Blue","Wilko",NA,NA,NA,NA,1
"KIT","DIN","453114","Wilko Mug  Reactive Glazed Dark Blue","Wilko",NA,NA,"1",NA,0.86
"KIT","DIN","453115","Wilko Dinner Set 12pce Reactive GlazedDark Blue","Wilko",NA,NA,"12 pce",NA,0.825
"KIT","DIN","453116","Wilko Dinner Plate Reactive Glazed Taupe","Wilko","27cm",NA,"1",NA,0.93
"KIT","DIN","453117","Wilko Side Plate Reactive Glazed Taupe","Wilko","17.5cm",NA,"1",NA,0.93
"KIT","DIN","453123","Wilko Bowl Reactive Glazed Taupe","Wilko","18cm",NA,"1",NA,0.93
"KIT","DIN","453124","Wilko Mug Reactive Glaze Taupe","Wilko",NA,NA,"1",NA,0.86
"KIT","DIN","453125","Wilko Dinner Set 12pce Reactive Glazed Taupe","Wilko",NA,NA,"12 pce",NA,0.86
"KIT","DIN","453126","Wilko Dinner Plate Reactive Glazed Red","Wilko",NA,NA,NA,NA,1
"KIT","DIN","453127","Wilko side Plate Reactive Glazed Red","Wilko",NA,NA,NA,NA,1
"KIT","DIN","453128","Wilko Bowl Reactive Glazed Red","Wilko",NA,NA,NA,NA,1
"KIT","DIN","453129","Wilko Mug Reactive Glazed Red","Wilko",NA,NA,NA,NA,1
"KIT","DIN","453130","Wilko Dinner Set Reactive Glazed Red 12pcs","Wilko",NA,NA,NA,NA,1
"KIT","DIN","453131","Wilko Dinner Plate Reactive Glazed Cool Grey","Wilko","27cm","Grey","1",NA,1
"KIT","DIN","453132","Wilko Side Plate Reactive Glazed Cool Grey","Wilko","17.5cm","Grey","1",NA,1
"KIT","DIN","453133","Wilko Bowl Reactive Glazed Cool Grey","Wilko","18cm","Grey","1",NA,1
"KIT","DIN","453134","Wilko Mug Reactive Glazed Cool Grey","Wilko",NA,"Grey","1",NA,0.93
"KIT","DIN","453135","Wilko Dinner Set 12pce Reactive Glazed Cool Grey","Wilko",NA,"Grey","12 pce",NA,0.883333333333333
"KIT","MUG","435901","Wilko Cuppa and Coffee Embossed Mug","Wilko",NA,NA,"1",NA,0.86
"KIT","MUG","435902","Wilko Latte and Cappuccino Design Mug","Wilko","8.5cm x 9.5cm x 10.2 cm",NA,"1",NA,0.93
