"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Power","Model Number","DQ Score"
"HOU","IRN","283586","Russell Hobbs Supreme Steam Iron 2400W","Russell Hobbs","2400W","White","Mains","18651",1
"HOU","IRN","305175","Russell Hobbs Auto Steam Iron 2400w","Russell Hobbs","2400W","Multi","Mains","15081",1
"HOU","IRN","329085","Russell Hobbs Easy Store Iron 2400W","Russell Hobbs","2400W","Multi","Mains",NA,0.891666666666667
"HOU","IRN","400014","Russell Hobbs Power Steam Ultra Iron 3100W","Russell Hobbs",NA,"Multi","3100w","20630",0.941666666666667
"HOU","IRN","438892","Russell Hobbs Supreme Steam Iron 232402400w","Russell Hobbs",NA,NA,"2400w",NA,0.825
"HOU","IRN","438893","Russell Hobbs Supreme Steam Ultra 232602600w","Russell Hobbs",NA,NA,"2400w","23260",0.883333333333333
"HOU","IRN","439010","Russell Hobbs Powersteam Pro Iron 206312400w","Russell Hobbs",NA,NA,"2400w","N20631",0.833333333333333
"KIT","ELE","328715","George Foreman Family Grilling Machine 4 Portion","George Foreman","4 Portion","Black","Mains","18471",1
"KIT","ELE","292725","Russell Hobbs Sandwich Toaster","Russell Hobbs",NA,"Black","Mains","17936",0.941666666666667
"KIT","ELE","292727","Russell Hobbs Cooker Slow 3.5L","Russell Hobbs","3.5L","Black","Mains","19790",1
"KIT","ELE","414587","Russell Hobbs Toaster Cream","Russell Hobbs",NA,NA,"850W","22392",0.883333333333333
