"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Power","Capacity","Model Number","DQ Score"
"KIT","ELE","451280","Kenwood Hand Mixer White HM220","Kenwood","White","150w",NA,"HM220",0.85
"KIT","ELE","451281","Kenwood Compact Mini Chopper White CH180A","Kenwood","White","300w",NA,"CH180",0.85
"KIT","ELE","451283","Kenwood Triblade Hand Blender 450W With Plus Turboand 0.5 Litre Bowl","Kenwood","White","450w",NA,"HB680P",0.85
"KIT","ELE","451284","Kenwood Blender 350w 1 Litre With Mill AttachmentWhite","Kenwood",NA,"350w","1 Litre","BL335",0.85
