"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","DQ Score"
"TOY","PRE","336097","Wilko Play Food Basket","Wilko","Multi","1",0.93
"TOY","PRE","456476","Wilko Play Cleaning Set","Wilko","Multi","1",0.93
