"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"HOM","COO","191338","Wilko Church Candle Ivory 7x7.5cm","Wilko","7x7.5cm",NA,NA,NA,"No",0.883333333333333
"HOM","COO","257880","Wilko Church Candle Ivory 7 x 12.5cm","Wilko","7x12.5cm","Cream",NA,NA,"No",0.941666666666667
"HOM","COO","290164","Wilko Unscented Tealights White 100pk","Wilko","Bag of 100","White",NA,NA,"No",0.941666666666667
"HOM","COO","290165","Wilko Maxi Unscented Tealights 15pk","Wilko","Maxi","White",NA,NA,"No",0.941666666666667
"HOM","COO","290166","Wilko Vanilla Tealights Scented 30pk","Wilko","30 Pack",NA,NA,NA,"No",0.883333333333333
"HOM","COO","290167","Wilko Scented Tealights Red Berries 30pk","Wilko","30 Pack","Red",NA,NA,"No",0.941666666666667
"HOM","COO","290168","Wilko Scented Tealights Melon & Rhubarb 30pk","Wilko","30 Pack","Green",NA,NA,"No",0.941666666666667
"HOM","COO","290171","Wilko Scented Pillar Candle Vanilla 7 x 14.5cm","Wilko","7x14.5cm","Cream",NA,NA,"No",0.941666666666667
"HOM","COO","290172","Wilko Scented Pillar Candle Red Fruit 7 x 14.5cm","Wilko","7x14.5cm","Red",NA,NA,"No",0.941666666666667
"HOM","COO","290173","Wilko Scented Candle Melon and Rhubarb 7x14.5cm","Wilko","7x14.5cm","Green",NA,NA,"No",0.941666666666667
"HOM","COO","290184","Wilko Church Candle Ivory 7 x 20cm","Wilko","80x20cm","Cream",NA,NA,"No",0.941666666666667
"HOM","COO","292908","Wilko Scented Pillar Candle Red Fruit 6 x 9.5cm","Wilko","6x9.5cm","Red",NA,NA,"No",0.941666666666667
"HOM","COO","292913","Wilko Scented Pillar Candle Vanilla 6 x 9.5cm","Wilko","6x9.5m",NA,NA,NA,"No",0.883333333333333
"HOM","COO","292917","Wilko Scented Candle Melon and Rhubarb 6x9.5cm","Wilko","6x9.5cm","Green",NA,NA,"No",0.941666666666667
"HOM","COO","296291","Wilko Tealights 8 Hour Burn Time 30pk","Wilko","Bag of 30","White","30pk",NA,NA,1
"HOM","COO","304026","Wilko Candles Taper Ivory 10pk","Wilko","20cm","Cream","10pk",NA,NA,1
"HOM","COO","327544","Wilko Scented Tealights 30pk","Wilko","30 Pack","Cream",NA,NA,"No",0.941666666666667
"HOM","COO","327549","Wilko Scented Pillar Candle Sandalwood 6 x 9.5cm","Wilko","6x9.5cm","Cream",NA,NA,"No",0.941666666666667
"HOM","COO","327556","Wilko Scented Pillar Candle 7 x 14.5cm","Wilko","7x14.5cm","Cream",NA,NA,"No",0.941666666666667
"HOM","COO","341082","Wilko Scented Pillar Candle Lavender 6 x 9.5cm","Wilko","6x9.5cm","Purple",NA,NA,"No",0.941666666666667
"HOM","COO","341083","Wilko Scented Pillar Candle Cotton 6 x 9.5cm","Wilko","6x9.5cm","Blue",NA,"Wax, wick, fragrance","No",1
"HOM","COO","341084","Wilko Scented Pillar Candle Lavender Fields7 x 14.5cm","Wilko","7x14.5cm","Purple","1",NA,NA,1
"HOM","COO","341085","Wilko Scented Pillar Candle Cotton 7 x 14.50cm","Wilko","7x14.5cm","Blue",NA,"Wax, wick, fragrance","No",1
"HOM","COO","341096","Wilko Tealight Lavender Field 30pk","Wilko","30 Pack","Purple","1",NA,NA,1
"HOM","COO","341098","Wilko Tealight Cotton 30pk","Wilko","30 Pack","Blue",NA,"Wax, wick, fragrance","No",1
"HOM","COO","341102","Wilko Church Candle White 7 x 12.5cm","Wilko","7x12.5cm","White","1",NA,NA,1
"HOM","COO","341103","Wilko Church Candle White 7 x 20cm","Wilko","7x20cm","White","1",NA,NA,1
"HOM","COO","410235","Wilko Church Candle White 7 x 7.5cm","Wilko","7x7.5cm",NA,"1",NA,NA,0.93
"HOM","COO","410236","Wilko Tapered Candles White 10pk","Wilko",NA,"White","10",NA,NA,0.93
"HOM","COO","413614","Wilko Scented Glass Candle Vanilla Pod","Wilko",NA,NA,NA,NA,"No",0.825
"HOM","COO","413615","Wilko Scented Glass Candle Red Berries","Wilko",NA,NA,NA,NA,"No",0.825
"HOM","COO","413618","Wilko Scented Glass Candle Lavender","Wilko",NA,NA,NA,NA,"No",0.825
"HOM","COO","413619","Wilko Scented Glass Candle Cotton Fresh","Wilko",NA,NA,NA,NA,"No",0.825
"HOM","COO","413620","Wilko Scented Glass Candle Tropical Passion Fruitand Blueberry","Wilko",NA,NA,NA,NA,"No",0.825
"HOM","COO","427101","Wilko Candle Jar White Linen and Lily55 Hours Burn Time","Wilko","9.7 x 9.7 x 11.5cm",NA,NA,NA,"No",0.883333333333333
"HOM","COO","427102","Wilko Candle Jar Cream Vanilla Pod55 Hours Burn Time","Wilko","9.7 x 9.7 x 11.5cm",NA,NA,NA,"No",0.883333333333333
"HOM","COO","427103","Wilko Candle Jar Wild Lavender and Rose55 Hours Burn Time","Wilko",NA,NA,NA,NA,"No",0.825
"HOM","COO","427104","Wilko Candle Jar Green Melon and Rhubarb55 Hours Burn Time","Wilko",NA,NA,NA,NA,NA,0.79
"HOM","COO","427105","Wilko Candle Jar Passion Fruit and Blueberry55 Hours Burn Time","Wilko",NA,NA,NA,NA,"No",0.825
