"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Age","Model Number","DQ Score"
"DIY","CYC","435203","Star Wars The Force Awakens Bicycle Bell","Disney","6cm diameter","Black","1",NA,NA,NA,NA,NA,0.891666666666667
"DIY","CYC","435206","Disney Princess Drinking Bottle 200ml","Disney","200ml","Pink","1",NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","435207","Star Wars-The Force Awakens Drinking Bottle 200ml","Disney","200ml","Black","1",NA,NA,NA,NA,NA,0.891666666666667
"DIY","CYC","435210","Disney Princess Cycle Safety Helmet","Disney","To fit head size 48-52cm","Pink","1",NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","435211","Star Wars The Force Awakens Cycle Safety Helmet","Disney","To fit head size 48-52cm","Black","1",NA,NA,NA,NA,NA,0.891666666666667
"DIY","CYC","435215","Star Wars The Force Awakens Knee and Elbow Pad","Disney","knee pad 10 x 15 cm / elbow pad 9 x 14.5cm","Black","2pk","nylon","No",NA,"3+","M13041",0.6
"DIY","CYC","435218","Disney Princess Bicycle Mitts","Disney","9 x 12cm","Yellow","1","woven","No","Hand Wash Only","3+","M13044",0.65
"DIY","CYC","435219","Star Wars The Force Awakens Bicycle Mitts","Disney","9 x 12cm","Black","1","woven","No","Hand Wash Only","3+","M13045",0.6
"DIY","CYC","435205","Peppa Pig Drinking  Bottle 200ml","Peppa Pig","200ml","Pink",NA,NA,NA,NA,"3+",NA,1
"DIY","CYC","435209","Peppa Pig Safety Cycle Helmet","Peppa Pig","To fit head size 48-52cm","Pink","1",NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","435217","Peppa Pig Bicycle Mitts","Peppa Pig","9 x 12cm","Yellow","1","woven","No","Hand Wash Only","3+","M13043",0.65
"DIY","CYC","435200","Thomas & Friends Bicycle Bell","Thomas & Friends","6cm diameter","Blue","1",NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","435204","Thomas & Friends Drinking Bottle 200ml","Thomas & Friends","200ml","Blue","1",NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","435208","Thomas & Friends Safety Cycle Helmet","Thomas & Friends","To fit head size 48-52cm","Blue","1",NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","435216","Thomas & Friends Bicycle Mitts","Thomas & Friends","9 x 12cm","Green","1","woven","No","Hand Wash Only","3+","M13042",0.65
