"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Model Number","DQ Score"
"SBK","COO","427417","Wilko I Like Cats Zipper Wallet A4","Wilko","A4",NA,"1",NA,NA,NA,0.883333333333333
"SBK","DES","433819","Wilko Keyboard Pencil Case","Wilko",NA,"Grey","1",NA,NA,NA,0.93
"SBK","KFL","439933","Wilko Unicorns Barrel Pencil Case","Wilko","21.5 x 8 x 8cm","Multi","1",NA,NA,NA,1
"SBK","KFL","439934","Wilko Unicorns and Rainbows Coin Purse","Wilko","13 x 2.5 x 8cm","Multi","1",NA,NA,NA,1
"SBK","KFL","439935","Wilko Space Barrel Pencil Case","Wilko","21 x 8 x 8cm","Multi","1",NA,NA,NA,1
"TOI","FAA","437420","Wilko Natural Cosmetic Purse","Wilko","17 x 8.5 x 11cm",NA,"1",NA,NA,NA,0.93
"TOI","FAA","437421","Wilko Natural Fold Over Toiletry Bag","Wilko","19 x 26.5cm",NA,"1",NA,NA,NA,0.93
"TOI","FAA","437422","Wilko Naturals Toiletry Bag Large","Wilko","26.5 x 5.5 x 18cm",NA,"1",NA,NA,NA,0.93
"TOI","FAA","455101","Wilko Cosmetic Brush Roll","Wilko","16cm x 28cm",NA,"1",NA,NA,NA,0.93
"TOI","FAA","455102","Wilko Oval Cosmetic Bag","Wilko","20cm x 10cm x 15cm",NA,"1",NA,NA,NA,0.93
"TOI","FAA","455103","Wilko Cylinder Cosmetic Bag","Wilko","20cm x 8cm x 8cm",NA,"1",NA,NA,NA,0.93
"TOI","FAA","455104","Wilko Rucksack Cosmetic Bag","Wilko","16cm x 7cm x 20cm",NA,"1",NA,NA,NA,0.93
"TOI","MEN","346700","Wilko Mens Hanging Toiletry Bag","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"TOI","MEN","346702","Wilko Mens Toiletry Bag","Wilko",NA,NA,NA,NA,NA,NA,0.825
"TOI","MEN","347804","Wilko Mens Toiletry Bag Small","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"TOI","XMS","456904","Botanica Green Floral Scarf","Wilko","180cm X 110cm","Green",NA,NA,NA,"CO-308800",0.891666666666667
"TOI","XMS","456905","Botanica Purple Flower Scarf","Wilko","180cm X 110cm","Purple",NA,NA,NA,"CO-308800-A",0.891666666666667
"TOI","XMS","456906","Glow Pen and Stylus","Wilko","3cm x 4cm x 15cm",NA,NA,NA,NA,"CO-308799",0.833333333333333
"TOI","XMS","456907","Kiss Camera Bag","Wilko","6cm x 19 cm x 14 cm",NA,NA,NA,NA,"CO-307700",0.833333333333333
"TOI","XMS","457487","Gizmo Phone Mini Fan","Wilko","4cm x 3cm x 10xcm",NA,"1","ABS, Metal","No","CO-308797",0.6
"TOI","XMS","457488","Gizmo Light Headphones","Wilko","104cm",NA,"1","ABS, Metal Wire","No","CO-308798",0.6
