"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Material","DQ Score"
"DIY","SHE","sg00001","3 Tier Bolted Shelving Black","Storage Solutions","Black","1","Steel",0.841666666666667
"DIY","SHE","sg00002","4 Tier Bolted Shelving Black","Storage Solutions","Black","1","Steel",0.841666666666667
"DIY","SHE","sg00003","5 Tier Bolted Shelving Black","Storage Solutions","Black","1","Steel",0.891666666666667
"DIY","SHE","sg00005","4 Tier Bolted Shelving Silver","Storage Solutions","Silver","1","Steel",0.891666666666667
"DIY","SHE","sg00007","5 Tier Bolted Shelving Grey Medium Duty","Storage Solutions","Grey","1","Steel",0.891666666666667
"DIY","SHE","sg00008","3 Tier Boltless Shelving Stainless Steel Black","Storage Solutions","Black","1","Steel",0.891666666666667
"DIY","SHE","sg00009","4 Tier Boltless Shelving Stainless Steel Black","Storage Solutions","Black","1","Steel",0.891666666666667
"DIY","SHE","sg00010","5 Tier Boltless Shelving Stainless Steel Black","Storage Solutions","Black","1","Steel",0.891666666666667
"DIY","SHE","sg00013","Workbench 2 Tier Boltless Black","Storage Solutions",NA,"1",NA,0.8625
"DIY","SHE","sg00014","3 Tier Boltless Lever Arch Shelving Black","Storage Solutions","Black","1","Steel and Chipboard",0.85
"DIY","SHE","sg00015","Two Tier Extension Bay","Storage Solutions","Black","1","Steel and Chipboard",0.85
"DIY","SHE","sg00016","Shelf Kit With 3 Metal Shelves 1000x220mm","Storage Solutions","White","1","Steel",0.891666666666667
"DIY","SHE","sg00017","Shelf Kit With 3 Metal Shelves 1000x270mm","Storage Solutions","White","1","Steel",0.891666666666667
