"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Model Number","DQ Score"
"HOM","COO","292896","Wilko Round Mirror Candle Plate","Wilko","Single",NA,NA,NA,NA,NA,0.86
"HOM","COO","292925","Wilko Candle Plates Glass Clear 2pk","Wilko","2 Pack","Clear","2pk",NA,NA,NA,1
"HOM","COO","292928","Wilko Glass Pebbles In Net Clear","Wilko","Pack","Clear",NA,NA,NA,NA,0.93
"HOM","COO","292976","Wilko Hurricane Vase Red","Wilko","Single","Red",NA,NA,"No",NA,0.941666666666667
"HOM","COO","327559","Wilko Hurricane Vase Clear","Wilko","Single","Clear",NA,NA,"No",NA,0.941666666666667
"HOM","COO","336573","Wilko Heart Glass Lantern Frosted","Wilko",NA,NA,NA,"Gllass","No",NA,0.883333333333333
"HOM","COO","341252","Wilko Storm Lamp Mink","Wilko",NA,"Clear",NA,NA,"No",NA,0.883333333333333
"HOM","COO","406744","Wilko Hurricane Vase Green","Wilko",NA,"Green",NA,"100% Glass","No",NA,0.941666666666667
"HOM","COO","418590","Wilko Small Waisted Vase","Wilko","25cm",NA,"1",NA,NA,NA,0.93
"HOM","COO","418592","Wilko Clear Bullet Vase","Wilko",NA,NA,"1",NA,NA,NA,0.86
"HOM","COO","418593","Wilko Waisted Vase Medium","Wilko","30cm",NA,"1",NA,NA,NA,0.93
"HOM","COO","418594","Wilko Large Posy Vase","Wilko",NA,NA,"1",NA,NA,NA,0.86
"HOM","COO","418610","Wilko Leaf Etched Votive Holder","Wilko",NA,NA,NA,"100% Glass","No",NA,0.883333333333333
"HOM","COO","427041","Wilko Decorative Tealight Holder Red  SaharaCollection","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427042","Wilko Soft Decorative Sand White","Wilko",NA,NA,NA,NA,NA,NA,0.79
"HOM","COO","427046","Wilko Tealight Holders Clear Glass 3pk","Wilko",NA,NA,NA,NA,NA,NA,0.79
"HOM","COO","427047","Wilko Tealight Holder Block Clear Glass 3pk","Wilko",NA,NA,NA,NA,NA,NA,0.79
"HOM","COO","427048","Wilko Tapered Tealight Holder Clear Glass","Wilko",NA,NA,NA,NA,NA,NA,0.79
"HOM","COO","427049","Wilko Heart Shaped Tealight Holder Clear Glass","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427056","Wilko Tealight Holder Purple","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427057","Wilko Tealight Holder Green","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","427058","Wilko Glass Vase Square Clear","Wilko",NA,NA,"1",NA,NA,NA,0.86
"HOM","COO","446518","Wilko Fish Bowl Glass Vase","Wilko",NA,NA,"1",NA,NA,NA,0.86
"HOM","COO","446952","Wilko Square Mirrored Tealight Holder","Wilko",NA,NA,"1",NA,NA,NA,0.86
"HOM","COO","447176","Wilko Etched Blossom Glass Vase","Wilko",NA,NA,NA,NA,"No",NA,0.825
"HOM","COO","455500","Wilko Glass Two Tone Vase Red","Wilko",NA,NA,NA,"100% Glass","No",NA,0.883333333333333
"HOM","COO","455905","Wilko Glass Geometric Vase Red","Wilko","17 x 17 x 28cm",NA,"1","100% Glass","No","CMC-WK-AW17-007",0.65
