"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"CLE","SUR","403692","Zoflora Concentrated Disinfectant 500ml","Zoflora","500ml",NA,"1",NA,1
"CLE","SUR","417772","Zoflora Non-Odour Neutraliser 120ml","Zoflora","120ml",NA,"1",NA,1
"PET","GEN","449317","Zoflora Fresh Home Disinfectant 500ml","Zoflora","500ml",NA,"1",NA,0.93
"TOI","BAB","292203","Metanium Nappy Rash Ointment 30g","Metanium","30g",NA,"1",NA,1
"TOI","DEN","34177","Eucryl Toothpowder Freshmint Flavour 50g","Eucryl","50g","Multi",NA,"No",0.65
"TOI","MED","210419","Covonia Expectorant Mentholated Cough Syrup 150ml","Covonia","150ml",NA,"1",NA,1
"TOI","MED","252576","Covonia Catarrh Relief 100ml","Covonia","100ml",NA,NA,NA,0.9125
"TOI","MED","261511","Covonia Dry and Tickly Cough 150ml","Covonia","150ml",NA,"1",NA,1
"TOI","MED","296894","Covonia Lozenges Original 30g","Covonia",NA,NA,"1",NA,0.9125
"TOI","MED","445627","Covonia Chesty Cough Syrup Sugar and Alcohol Free150ml","Covonia",NA,NA,NA,NA,0.825
"TOI","MED","445628","Covonia Sugar Free Lozenges 30g","Covonia",NA,NA,NA,NA,0.825
"TOI","MED","274164","Hedrin Head Lice Spray Gel 60ml","Hedrin","100ml",NA,NA,NA,0.9125
"TOI","MED","346183","Hedrin Protect And Go 120ml","Hedrin","120ml",NA,"1",NA,1
"TOI","MED","33548","KY Lubricating Jelly 50ml","K-Y Jelly","42g",NA,NA,NA,0.81
"TOI","MED","244119","Wind Setlers Easy to Swallow Gel Caps 24pk","Windsetlers",NA,NA,"24pk","No",0.6
