"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Material","Assembly","Capacity","DQ Score"
"DIY","CYC","286561","Wilko Child Polyester High Visibility Vest","Wilko","Child",NA,NA,NA,NA,0.825
"DIY","MOT","11448","Wilko Pencil Type Tyre Pressure Gauge","Wilko","One Size",NA,NA,"No",NA,0.65
"DIY","MOT","141893","Wilko Dashboard Mat Non-Slip","Wilko","One Size","1",NA,NA,NA,0.883333333333333
"DIY","MOT","157485","Wilko Tie Down Medium Ratchet 5m","Wilko","5m","1",NA,"No",NA,0.65
"DIY","MOT","184115","Wilko Funnel with Filter","Wilko","One Size",NA,NA,"No",NA,0.65
"DIY","MOT","199296","Wilko Seat Belt Pads 2pk","Wilko","One Size","2pk",NA,NA,NA,0.883333333333333
"DIY","MOT","203053","Wilko Light Duty Tie Downs 2.5m 2pk","Wilko","2.5m","2pk",NA,NA,NA,0.883333333333333
"DIY","MOT","258248","Wilko Blind Spot Mirror","Wilko",NA,"1",NA,NA,NA,0.825
"DIY","MOT","286560","Wilko High Visibility Vest Adult","Wilko","Extra Large","1",NA,NA,NA,0.883333333333333
"DIY","MOT","345133","Tow Rope","Wilko",NA,"1",NA,"No",NA,0.6
"DIY","MOT","345139","Wilko GB Sticker","Wilko",NA,"1",NA,NA,NA,0.825
"DIY","MOT","345141","Wilko Beam Converters","Wilko","10.5cm x 6cm","1",NA,NA,NA,0.883333333333333
"DIY","MOT","39679","Wilko Interior Mirror Suction Pad","Wilko",NA,"1",NA,NA,NA,0.825
"DIY","MOT","310668","Snow and Ice Clear 1.2kg",NA,"1.2kg","1","Salt","No","1.2kg",0.65
