"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Age","DQ Score"
"XMD","FOI","439081","Snow Foam Mousse 250ml","Festive","250ml","White","1",NA,"No",NA,"16+",0.6
"XMD","FOI","439082","Christmas Traditions Snow Spray and Stencils","Festive","150ml","White","1",NA,"No",NA,"16+",0.6
"XMD","FOI","439083","Christmas Traditions Copper Spray 150ml","Festive","150ml","Brown","1",NA,"No",NA,"16+",0.6
"XMD","FOI","51182","Christmas Traditions Silver Spray 150ml","Festive","150ml","Silver","1",NA,"No",NA,"16+",0.6
"XMD","FOI","8812645","Christmas Traditions Snow Spray 150ml","Festive","150ml","White","1",NA,"No",NA,"16+",0.6
"XMD","FOI","292080","Wilko Christmas Tinsel Silver 2m","Wilko","2m","Silver","1","PVC","No",NA,"3+",0.65
"XMD","FOI","292081","Wilko Christmas Tinsel Gold 2m","Wilko","2m","Gold","1","PVC","No",NA,"3+",0.65
"XMD","FOI","292082","Wilko Christmas Tinsel Red 2m","Wilko","2m","Red","1","PVC","No",NA,"3+",0.65
"XMD","FOI","323007","Wilko Christmas Foliage Tinsel 2m","Wilko","2m","Green","1","PVC","No",NA,"3+",0.65
"XMD","FOI","323012","Wilko Christmas Tinsel Shiny Pewter 2 Metres","Wilko","2m","Grey","1","PVC","No",NA,"3+",0.65
"XMD","FOI","401573","Wilko Christms Tinsel Pearl Gold 2 Metres","Wilko","2m","Gold","1","PVC","No",NA,"3+",0.65
"XMD","FOI","420049","Wilko Christmas Tinsel Pearlescent 2m","Wilko","2m","White","1","PVC","No",NA,"3+",0.65
"XMD","FOI","420050","Wilko Christmas Tinsel Light Pink 2m","Wilko","2m","Pink","1","PVC","No",NA,"3+",0.65
"XMD","FOI","421146","Wilko Christmas Tinsel Ice Blue 2m","Wilko","2m","Blue","1","PVC","No",NA,"3+",0.65
"XMD","FOI","439084","Wilko Christmas Tinsel Matt Silver 2m","Wilko","2m","Silver","1","PVC","No",NA,"3+",0.65
"XMD","FOI","51183","Christmas Traditions Gold Spray 150ml","Wilko","150ml","Gold","1",NA,"No",NA,"16+",0.6
"XMD","LIG","449498","Zaplites 200 LED String Lights App ControlledWhite","Festive","19.9m","White","1",NA,NA,"Mains Operated",NA,0.95
"XMD","LIG","449499","Zaplites 200 LED String Lights App ControlledWarm White","Festive","19.9m","White","1",NA,NA,"Mains Operated",NA,0.95
"XMD","LIG","449500","Zaplites 200 LED String Lights App ControlledMulti-Coloured","Festive","19.9m","Multi","1",NA,NA,"Mains Operated",NA,0.95
"XMD","LIG","449501","Zaplites 360 LED String Lights App ControlledWhite","Festive","35.6m","White","1",NA,NA,"Mains Operated",NA,0.95
"XMD","LIG","449502","Zaplites 360 LED String Lights App Controlled WarmWhite","Festive","35.6m","White","1",NA,NA,"Mains Operated",NA,0.95
"XMD","LIG","449503","Zaplites 360 LED String Lights App ControlledMulti-Coloured","Festive","35.6m","Multi","1",NA,NA,"Mains Operated",NA,0.95
"XMD","TRE","403191","Scentsicles Scented Christmas Tree Ornaments WhiteWinter Fir 6pk","Festive","17.5 x 0.5cm","Green","6",NA,"No",NA,"16+",0.6
"XMD","TRE","424819","Festive 7ft Emperor Pine Christmas Tree","Festive","7ft","Green","1","PVC, Mild Steel, Plastic","Yes",NA,"16+",0.65
"XMD","TRE","449492","Festive 7ft Heartwood Spruce Christmas Tree Green","Festive","7ft","Green","1","PVC, Mild Steel","No",NA,"16+",0.65
"XMD","TRE","449493","Festive Pre Lit Pathfinder Christmas Trees 3pk","Festive","90cm","Green","1","PVC, Mild Steel, Copper, Acrylic","No","Mains Operated","16+",0.65
