"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Assembly","DQ Score"
"GAR","TUB","445493","Wilko Pipe Pot Holder Aubergine","Wilko","30.5 x 19 x 10.3cm","Purple","No",1
"GAR","TUB","445498","Wilko Reservior Balls 16 Balls","Wilko",NA,NA,"No",0.86
"GAR","WAT","447642","Wilko Hose Carrier","Wilko","40.5 x 20 x 2.5cm",NA,NA,1
