"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","DQ Score"
"KIT","DIN","440303","Wilko Chinese Dinner Party Set 21pcs","Wilko","21 piece","White","21",NA,NA,NA,1
"KIT","DIN","441911","Serving Set Black Script 5 Piece","Wilko",NA,"Black","5",NA,NA,NA,0.8
"KIT","DIN","441918","Dip Bowls Square on Wooden Tray 4pcs","Wilko",NA,"White","4",NA,NA,NA,0.8
"KIT","DIN","447410","Wilko Dinner Set Oriental Blossom 12 Piece","Wilko",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","447411","Wilko Dinner Plate Oriental Blossom 27cm","Wilko",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","447412","Wilko Side Plate Oriental Blossom 19cm","Wilko",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","447413","Wilko Bowl Oriental Blossom 14cm","Wilko",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","447414","Wilko Mug Oriental Blossom 14oz","Wilko",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","447415","Wilko Cup and Saucer Oriental Blossom","Wilko",NA,NA,NA,NA,NA,NA,1
"KIT","DIN","308474","Wilko Best Bone China Dinner Set White 12pcs","Wilko Best","12 Piece","White","1",NA,NA,"Washable",1
"KIT","DIN","308475","Wilko Best Bone China Dinner Plate White","Wilko Best","28cm","White","1",NA,NA,"Washable",1
"KIT","DIN","308476","Wilko Best Bone China Side Plate White","Wilko Best","20cm","White","1",NA,NA,"Washable",1
"KIT","DIN","308477","Wilko Best Bone China Latte Mug White","Wilko Best","Large","White",NA,NA,NA,NA,0.93
"KIT","DIN","308478","Wilko Best Bone China Cereal Bowl White","Wilko Best","18cm","White",NA,NA,NA,"Washable",0.941666666666667
"KIT","DIN","308487","Wilko Best Bone China Cup and Saucer White","Wilko Best","C 6.5x11.5x8.5cm, S 2x16x16cm","White",NA,NA,NA,"Washable",0.941666666666667
"KIT","DIN","309251","Wilko Best Bone China Mug White","Wilko Best","8.5x10.4.5cm","White","1",NA,NA,"Washable",1
"KIT","MUG","427974","Wilko Ugly Mug Pint Mug","Wilko",NA,NA,NA,NA,NA,NA,0.79
"KIT","MUG","435905","Wilko Mum Mug","Wilko","8cm, 8.5cm",NA,"1",NA,NA,NA,0.93
"KIT","MUG","435906","Wilko Dad Mug","Wilko","8cm, 8.5cm",NA,"1",NA,NA,NA,0.86
"KIT","MUG","435907","Wilko Grandad Mug","Wilko","8cm, 8.5cm",NA,"1",NA,NA,NA,0.93
"KIT","MUG","435908","Wilko Grandma Mug","Wilko","8cm, 8.5cm",NA,"1",NA,NA,NA,0.93
"KIT","MUG","435909","Wilko Best Friend Mug","Wilko","8cm, 8.5cm",NA,"1",NA,NA,NA,0.93
"KIT","MUG","435910","Wilko And Mug","Wilko","8cm, 8.5cm",NA,"1",NA,NA,NA,0.93
"KIT","MUG","435911","Wilko Brother Mug","Wilko","8cm, 8.5cm",NA,"1",NA,NA,NA,0.93
"KIT","MUG","435912","Wilko Sister Mug","Wilko","8cm, 8.5cm",NA,"1",NA,NA,NA,0.93
"KIT","MUG","435923","Wilko Spot Mug Blue","Wilko","10cm, 9cm",NA,"1",NA,NA,NA,0.93
"KIT","MUG","435924","Wilko Stripe Mug Blue","Wilko","10cm, 9cm",NA,"1",NA,NA,NA,0.93
"KIT","MUG","435926","Wilko Cat Mug","Wilko","8cm, 8.5cm",NA,"1",NA,NA,NA,0.93
"KIT","MUG","435927","Wilko Dog Mug","Wilko","8cm, 8.5cm",NA,"1",NA,NA,NA,0.93
"KIT","MUG","450526","Wilko Mug Spotty Pink 14oz","Wilko","10 x 10 x 9.5cm","Multi","1",NA,NA,NA,1
"KIT","MUG","450527","Wilko Mug Spotty Grey 14oz","Wilko","10 x 10 x 9.5cm","Multi","1",NA,NA,NA,1
"KIT","MUG","450530","Wilko Mug Wild Floral Design 12oz","Wilko","8.5 x 8.5 x 8cm","Multi","1",NA,NA,NA,1
"KIT","MUG","450531","Wilko Mug Floral Design 12oz","Wilko","8.5 x 8.5 x 8cm","Multi","1",NA,NA,NA,1
"SBK","COO","450778","Wilko Unearthed Pineapple Print Jewellery Dish","Wilko","10.5 x 10.5 x 1cm","White","1","Porcelain","No","Hand Wash Only",0.65
