"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","Age","DQ Score"
"KIT","HOM","240202","Wilko Airlock With Rubber Bung 2pk","Wilko","2 Pack",NA,"1",NA,NA,NA,NA,0.93
"KIT","HOM","253121","Wilko Beer Finings 30ml","Wilko","30ml",NA,"1",NA,NA,"23L, 5Gallons",NA,1
"KIT","HOM","253122","Wilko Wine Finings A and B 65g","Wilko","65g",NA,"1",NA,NA,"23L, 5Gallons",NA,1
"KIT","HOM","309419","Wilko Brewing Sugar 1kg","Wilko","1kg",NA,NA,NA,NA,NA,NA,0.86
"KIT","HOM","318372","Wilko Sweet Newkie Brown Brewing KitMakes 40 Pints","Wilko","40pt","Multi",NA,NA,"No",NA,NA,0.65
"KIT","HOM","318373","Wilko  Medium Dry White Wine Making KitMakes 30 Bottles","Wilko","30 Bottles","White","1",NA,"No",NA,NA,0.65
"KIT","HOM","318379","Wilko Dark Velvet Stout Brewing KitMakes 40 Pints","Wilko","40pt","Multi",NA,NA,"No",NA,NA,0.65
"KIT","HOM","318380","Wilko Light Delicate Pilsner Brewing KitMakes 40 Pints","Wilko","40pt",NA,NA,NA,"No",NA,NA,0.65
"KIT","HOM","318382","Wilko Hoppy Copper Bitter Brewing KitMakes 40 Pints","Wilko","50pt","Multi",NA,NA,"No",NA,NA,0.65
"KIT","HOM","318383","Wilko Light Golden Lager Brewing KitMakes 40 Pints","Wilko","40pt","Multi","1",NA,"No",NA,NA,0.65
"KIT","HOM","318387","Wilko Medium Dry Red Wine Making KitMakes 30 Bottles","Wilko","30 Bottles","Red","1",NA,"No",NA,NA,0.65
"KIT","HOM","318388","Wilko Refreshing Cerveza Mexican Style Brewing KitMakes 40 Pints","Wilko","40pt","White","1",NA,"No",NA,NA,0.65
"KIT","HOM","318389","Wilko 30 Bottle Rose Wine Kit","Wilko","30 Bottles",NA,"1",NA,"No",NA,NA,0.65
"KIT","HOM","318391","Wilko Cabernet Sauvignon  Wine Starter KitMakes 6 Bottles","Wilko","6 Bottles","Red","6pcs",NA,"No",NA,NA,0.65
"KIT","HOM","318392","Wilko Chardonnay Wine Starter KitMakes 6 Bottles","Wilko","6 Bottles","White","1",NA,"No",NA,NA,0.65
"KIT","HOM","318707","Wilko Swing Top Bottles 500ml Tray of 6","Wilko","500ml",NA,"6pk",NA,NA,"6x500ml",NA,1
"KIT","HOM","318708","Wilko Apple Cider Brewing Kit 1.7kgMakes 40 Pints","Wilko","1.7kg","White","1",NA,"No",NA,NA,0.65
"KIT","HOM","318711","Wilko Plastic Topped Corks","Wilko",NA,NA,"12pk",NA,NA,NA,NA,0.86
"KIT","HOM","318922","Wilko Gervin English  Ale Yeast 11g","Wilko","11g",NA,NA,NA,NA,NA,NA,0.86
"KIT","HOM","321285","Wilko Straight Wine Bottle Corks 30pk","Wilko","30 Pack",NA,"1",NA,NA,NA,NA,0.93
"KIT","HOM","323176","Wilko Rose Wine Making KitMakes 6 Bottles","Wilko","6 Bottles",NA,"6pcs",NA,NA,NA,NA,0.93
"KIT","HOM","351554","Wine Shrink Capsules 30 pack","Wilko","30 Pack",NA,"1",NA,NA,NA,NA,0.88
"KIT","HOM","351555","Demijohn Brush","Wilko",NA,NA,"1",NA,NA,NA,NA,0.81
"KIT","HOM","351556","Wilko Express Wine Yeast Compound 50g","Wilko","50g",NA,"1",NA,NA,NA,NA,0.93
"KIT","HOM","351560","Wilko Wine Tannin 50g","Wilko","50g",NA,"1",NA,NA,NA,NA,0.93
"KIT","HOM","351583","Gervin Cider Yeast 5g Sachet","Wilko","5g",NA,"1",NA,NA,NA,NA,0.88
"KIT","HOM","435886","Woodfordes Admiral Reserve Real Ale Kit 3kgMakes 32 Pints","Wilko",NA,NA,"1",NA,"No","32 Pints","18+",0.6
"KIT","HOM","435887","Woodfordes Sundew Real Ale KitMakes 40 Pints","Wilko",NA,NA,"1",NA,"No",NA,NA,0.6
"KIT","HOM","435890","Brewers Multi Purpose Heat Pad","Wilko",NA,"White","1",NA,"No",NA,NA,0.6
"KIT","HOM","440626","Wilko Golden Ale Brewing Kit 1.5kgMakes 40 Pints","Wilko",NA,NA,NA,NA,"No",NA,NA,0.65
"KIT","HOM","440627","Wilko IPA Brewing Kit 1.5kgMakes 40 Pints","Wilko",NA,NA,NA,NA,"No",NA,NA,0.65
"KIT","HOM","440628","Wilko Golden Wheat Beer Brewing Kit 1.5kgMakes 40 Pints","Wilko",NA,NA,NA,NA,"No",NA,NA,0.65
"KIT","HOM","441125","Wilko C02 Bulb Holder 2pk","Wilko",NA,NA,"2",NA,NA,NA,NA,0.86
"KIT","HOM","441126","Wilko Stick on Thermometer Strip 2pk","Wilko",NA,NA,"2",NA,NA,NA,NA,0.86
"KIT","HOM","441127","Wilko Bottling Wand with Tap","Wilko",NA,NA,"1",NA,NA,NA,NA,0.86
"KIT","HOM","441128","Wilko Replacement Tap and Seal","Wilko",NA,NA,"1",NA,NA,NA,NA,0.86
"KIT","HOM","441129","Wilko Hand Corker","Wilko",NA,NA,"1",NA,NA,NA,NA,0.86
"KIT","HOM","441260","Wilko Pressure Barrel 5 Gallon","Wilko",NA,NA,"1",NA,"No",NA,NA,0.65
"KIT","HOM","60004","Wilko Gervin Universal Wine Yeast","Wilko","5g",NA,"1",NA,NA,"4.54L",NA,1
"KIT","HOM","67533","Wilko White Grape Concentrate 220g","Wilko","220g",NA,"1",NA,NA,NA,NA,0.93
"KIT","HOM","67534","Wilko Red Grape Concentrate 220g","Wilko","220g",NA,"1",NA,NA,NA,NA,0.93
"KIT","HOM","75885","Wilko Wide Neck Fermentation Vessel 25L","Wilko","25L","White","1",NA,"No","25L",NA,0.65
"KIT","HOM","75914","Wilko Wine Bottles Green  6pk","Wilko","750ml",NA,"6pk",NA,NA,NA,NA,0.93
"KIT","HOM","ib00019","Bloke Stuff Chardonnay Starter Kit","Wilko","6 Bottle",NA,"1",NA,NA,"6 Bottle",NA,0.95
"KIT","HOM","207610","Woodfordes Wherry Real Ale Kit 3kgMakes 40 Pints","Woodfordes","3kg","Multi",NA,NA,"No",NA,NA,0.65
"KIT","HOM","443333","Woodfordes Wherry Real Ale Starter KitMakes 40 Pints","Woodfordes","40 pint",NA,"1",NA,NA,"40 pint",NA,1
