"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Age","DQ Score"
"PET","GEN","439405","Wilko Puppy Shampoo","Wilko","250ml",NA,"1",NA,1
"PET","GEN","439407","Wilko Coconut 2 in 1 Shampoo","Wilko","250ml",NA,"1",NA,0.93
"PET","GEN","439408","Wilko Medicated Shampoo","Wilko","250ml",NA,"1",NA,0.93
"PET","GEN","439409","Wilko Flea Shampoo","Wilko","250ml",NA,"1",NA,1
"PET","GEN","439411","Wilko Body Mist","Wilko","250ml",NA,"1",NA,0.93
"TOI","BAB","341239","Wilko Baby Baby Shampoo 500ml","Wilko","500ml",NA,NA,NA,0.86
"TOI","BAT","296708","Wilko Hand Wash Original Antibacterial 500ml","Wilko","500ml",NA,"1",NA,1
"TOI","BAT","296709","Wilko Hand Wash Antibacterial 500ml","Wilko","500ml",NA,"1",NA,1
"TOI","BAT","296710","Wilko Hand Wash Nourishing Antibacterial  500ml","Wilko","500ml",NA,"1",NA,1
"TOI","BAT","325512","Wilko Handwash Family White 500ml","Wilko","500ml",NA,"1",NA,1
"TOI","BAT","325513","Wilko Hand Wash Lilac 500ml","Wilko","500ml",NA,NA,NA,0.9125
"TOI","BAT","325514","Wilko Hand Sanitiser Original 200ml","Wilko","200ml",NA,NA,NA,0.9125
"TOI","BAT","325515","Wilko Hand Sanitiser Original 50ml","Wilko","50ml",NA,"1",NA,1
"TOI","BAT","346803","Wilko Sensitive Antibacterial Handwash 500ml","Wilko","500ml",NA,"1",NA,1
"TOI","BAT","346806","Wilko Creme Bath  White 750ml","Wilko","750ml",NA,"1",NA,1
"TOI","BAT","346807","Wilko Creme Bath  Lilac 750ml","Wilko","750ml",NA,"1",NA,1
"TOI","BAT","416801","Wilko Muscle Soak Bath FoamNatural Essence 750ml","Wilko",NA,NA,"1",NA,0.9125
"TOI","BAT","416802","Wilko Stress Relief Bath FoamNatural Essence 750ml","Wilko",NA,NA,"1",NA,0.9125
"TOI","BAT","416803","Natural Essence Foam Bath Muscle Soak","Wilko",NA,NA,"1",NA,0.8625
"TOI","BAT","416804","Wilko Relaxing Bath SoakChamomile and Green Tea 750ml","Wilko",NA,NA,"1",NA,0.9125
"TOI","FRU","347555","Wilko  Body Scrub 250mlStrawberry and Pomegranate","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347558","Wilko Fruits Hand Lotion 250mlStrawberry and Pomegranate","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347559","Wilko Fruits Hand Wash 250mlStrawberry and Pomegranate","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347560","Wilko Fruits Bath Foam 250mlCoconut and Vanilla","Wilko","500ml",NA,"1",NA,1
"TOI","FRU","347561","Wilko Fruits Shower Gel 250mlCoconut and Vanilla","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347562","Fruits Body Scrub CFruits Body Scrub Coconut 250ml","Wilko","250ml",NA,"1",NA,0.95
"TOI","FRU","347565","Wilko Fruits Hand Lotion 250mlCoconut and Vanilla","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347566","Wilko Fruits Handwash 250mlCoconut and Vanilla","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347588","Wilko Fruits Bath Foam 250mlRhubarb and Vanilla","Wilko","500ml",NA,"1",NA,1
"TOI","FRU","347589","Wilko Fruits Shower Gel 250mlRhubarb and Vanilla","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347590","Wilko Fruits Body Scrub 250mlRhubarb and Vanilla","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347593","Wilko Fruits Hand Lotion 250mlRhubarb and Vanilla","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347594","Wilko Fruits Hand Wash Rhubarb and Vanilla 250ml","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347595","Wilko Fruits Bath Foam 500mlPassion Fruit and Watermelon","Wilko","500ml",NA,"1",NA,1
"TOI","FRU","347596","Wilko Fruits Shower Gel 250mlPassion Fruit and Watermelon","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347597","Wilko Fruits Body Scrub 250mlPassion Fruit and Watermelon","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347600","Wilko Fruit Hand Lotion 250mlPassion Fruit and Melon","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347601","Wilko Fruits Hand Wash 250mlPassion Fruit and Watermelon","Wilko","250ml",NA,"1",NA,1
"TOI","FRU","347616","Wilko Fruits Bath Foam 500mlStrawberry and Pomegranate","Wilko","500ml",NA,"1",NA,1
"TOI","FRU","347617","Wilko Fruits Shower Gel 250mlStrawberry and Pomegranate","Wilko","250ml",NA,"1",NA,1
"TOI","MEN","346657","Wilko Mens Aftershave Balm 100ml","Wilko","100ml","Multi","1",NA,0.9
"TOI","MEN","346658","Wilko Mens Face Wash 150ml","Wilko","150ml",NA,"1",NA,1
"TOI","MEN","346659","Wilko Mens Moisturiser 100ml","Wilko","100ml",NA,"1",NA,1
"TOI","SAN","417526","Wilko Feminine Intimate Cleansing Wash","Wilko",NA,NA,"1",NA,0.86
