"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Power","Model Number","DQ Score"
"DIY","ELE","455049","British General Double Socket 4 Gang USB White 4.2amp","British General",NA,NA,"1","Plastic, Metal",NA,NA,0.883333333333333
"DIY","ELE","455050","British General Double Socket USB Brushed Steel 4.2amp","British General",NA,NA,"1","Plastic, Metal",NA,NA,0.883333333333333
"DIY","ELE","455051","British General Double Socket USB Chrome 4.2amp","British General",NA,NA,"1","Plastic, Metal",NA,NA,0.883333333333333
"DIY","ELE","455052","British General Double Socket USB Black Nickel 4.2amp","British General",NA,NA,"1","Plastic, Metal",NA,NA,0.883333333333333
"DIY","ELE","457269","British General Double USB Socket White 2.1A","British General","3.5 x 18 x 16cm","White","1","Plastic, Metal",NA,NA,1
"DIY","ELE","457270","British General Double USB Socket Brushed Steel 2.1A","British General","3.5 x 18 x 16cm","Metal","1","Plastic, Metal",NA,NA,1
"DIY","ELE","457271","British General Double USB Socket Chrome 2.1A","British General","3.5 x 18 x 16cm","Metal","1","Plastic, Metal",NA,NA,1
"DIY","ELE","457272","British General Double USB Socket Black Nickel 2.1A","British General","3.5 x 18 x 16cm","Metal","1","Plastic, Metal",NA,NA,1
"DIY","ELE","455026","Masterplug Cable Reel 10amp 4 Gang 25m","Masterplug","25m",NA,NA,NA,"Mains power supply","LDCC2510/4BL",0.941666666666667
"DIY","ELE","455027","Masterplug Cable Reel 10amp 4 Gang 16m","Masterplug","16m",NA,NA,NA,"Mains power supply","SOC1610/4BL",0.941666666666667
"DIY","ELE","455028","Masterplug Handbag Cable Reel 10amp 4 Gang 15m","Masterplug","15m",NA,NA,NA,"Mains power supply","HST1510/4BL",0.941666666666667
"DIY","ELE","455029","Masterplug Cassette Reel 10amp 4 Gang 8m","Masterplug","8m",NA,NA,NA,"Mains power supply","MCT0810/4BL",0.941666666666667
"DIY","ELE","455031","Masterplug Outdoor Socket 1 Gang Switched IP66","Masterplug","12 x 9 x 16cm",NA,"1","Plastic, Metal",NA,NA,0.941666666666667
"DIY","ELE","455032","Masterplug Outdoor Socket 2 Gang Switched IP66","Masterplug","18 x 6 x 16cm",NA,"1","Plastic, Metal",NA,NA,0.941666666666667
"DIY","ELE","455033","Masterplug Weatherproof Switch 1 Gang IP66","Masterplug","10 x 7 x 10cm",NA,"1","Plastic, Metal",NA,NA,0.941666666666667
"DIY","ELE","455045","Masterplug Outdoor Socket Kit 2 Gang","Masterplug",NA,NA,"1","Plastic, Metal",NA,NA,0.883333333333333
"DIY","ELE","133997","Wilko 4 Way Extension Lead 5m","Wilko","5m",NA,NA,NA,NA,NA,0.86
"DIY","ELE","144868","Wilko 13 Amp Extension Lead 2m 4 Way","Wilko","2m",NA,NA,NA,NA,NA,0.86
"DIY","ELE","155626","Wilko 6 Way 13 Amp Extension Lead Surge Protected2m","Wilko","6 Way",NA,NA,NA,NA,NA,0.86
"DIY","ELE","181741","Wilko Extension Lead 2m 4 Gang","Wilko","2m",NA,NA,NA,NA,"4 Gang",0.93
"DIY","ELE","187196","Wilko 6 Way Extension Lead Individually Switched2m","Wilko","2m",NA,NA,NA,NA,"6 Gang",0.93
"DIY","ELE","21777","Wilko 4 Way Extension Lead  2m","Wilko","2m",NA,NA,NA,NA,NA,0.86
"DIY","ELE","323226","Wilko Travel Power Visitor to UK Adaptor","Wilko",NA,NA,NA,NA,NA,NA,0.766666666666667
"DIY","ELE","342815","Wilko 2 Socket 5m 10amp Extension Lead","Wilko","10AMP",NA,NA,NA,NA,NA,0.86
"DIY","ELE","342818","Wilko 6 Socket 2m 10amp Extension Lead","Wilko","10AMP",NA,NA,NA,NA,NA,0.86
"DIY","ELE","342831","Wilko 2 Socket 5m 10amp Small Cassette Reel","Wilko","10AMP x 5m",NA,NA,NA,NA,NA,0.86
"DIY","ELE","342832","Wilko 2 Socket 10M 10amp Cassette Reel","Wilko","10AMP",NA,NA,NA,NA,NA,0.86
"DIY","ELE","342833","Wilko 2 Socket 10amp Cable Reel 15m","Wilko","10AMP x 15m",NA,NA,NA,NA,NA,0.86
"DIY","ELE","342834","Wilko 4 Socket 13amp Case Reel 20m","Wilko","13AMP x 20m",NA,NA,NA,NA,NA,0.86
"DIY","ELE","342952","Wilko Waterproof Box 4 Socket Extension Lead8m Black","Wilko","8m",NA,NA,NA,NA,NA,0.825
"DIY","ELE","342954","Wilko White Plastic 1G 2 Way Switch","Wilko",NA,NA,"1",NA,NA,NA,0.825
"DIY","ELE","342955","Wilko White Plastic 2G 2 Way Switch","Wilko",NA,NA,"1",NA,NA,NA,0.825
"DIY","ELE","342956","Wilko White Plastic 1G 13amp Switch Socket","Wilko","13AMP",NA,"1",NA,NA,NA,0.883333333333333
"DIY","ELE","342957","Wilko White Plastic 2G 13amp Switched Socket","Wilko","13AMP",NA,NA,NA,NA,NA,0.825
"DIY","ELE","342959","Wilko Switched Fused Socket","Wilko",NA,NA,"1",NA,NA,NA,0.825
"DIY","ELE","342961","Wilko White Plastic 1G Dimmer","Wilko",NA,NA,"1",NA,NA,NA,0.825
"DIY","ELE","342962","Wilko White Plastic 2G Dimmer","Wilko",NA,NA,"1",NA,NA,NA,0.825
"DIY","ELE","342963","Wilko Single 2 Way Switch Brushed Stainless Steel","Wilko",NA,NA,"1",NA,NA,NA,0.825
"DIY","ELE","342964","Wilko Twin 2 Way Switch Brushed Stainless Steel","Wilko",NA,NA,"1",NA,NA,NA,0.825
"DIY","ELE","342965","Wilko Single 13amp Switch Socket Stainless Steel","Wilko","13AMP",NA,NA,NA,NA,NA,0.825
"DIY","ELE","342966","Wilko Twin 13Amp Switch Socket Stainless Steel","Wilko",NA,NA,"1",NA,NA,NA,0.825
"DIY","ELE","342984","Wilko Single 400W Dimmer Steel","Wilko","400w",NA,"1",NA,NA,NA,0.883333333333333
"DIY","ELE","342986","Wilko Single 2 Way Switch Chrome","Wilko",NA,NA,"1",NA,NA,NA,0.825
"DIY","ELE","342987","Wilko Twin 2 Way Switch Chrome","Wilko",NA,NA,"1",NA,NA,NA,0.825
"DIY","ELE","342988","Wilko Single Switch Socket 13amp Chrome","Wilko","13AMP",NA,"1",NA,NA,NA,0.883333333333333
"DIY","ELE","342989","Wilko Twin Switch Socket 13amp Chrome","Wilko","13AMP",NA,NA,NA,NA,NA,0.825
"DIY","ELE","342990","Wilko Single 400W Dimmer Chrome","Wilko","400w",NA,NA,NA,NA,NA,0.825
"DIY","ELE","342992","Wilko Single Switch Black Nickel 2 Way","Wilko",NA,NA,"1",NA,NA,NA,0.825
"DIY","ELE","342993","Wilko Twin Switch Black Nickel 2 Way","Wilko",NA,NA,"1",NA,NA,NA,0.825
"DIY","ELE","342994","Wilko Single Switch Socket Black Nickel 13amp","Wilko","13AMP",NA,NA,NA,NA,NA,0.825
"DIY","ELE","342995","Wilko Twin Switch Socket Black Nickel 13amp","Wilko","13AMP",NA,"1",NA,NA,NA,0.883333333333333
"DIY","ELE","343567","Wilko Garden Extension Lead 2 Sockets 15m","Wilko","15m",NA,NA,NA,NA,NA,0.86
"DIY","ELE","440932","Wilko TV Bracket  13 - 23in Flat","Wilko","11.5 x 11.5 x 1.3cm","Black",NA,NA,NA,"LEF100-RO",0.941666666666667
"DIY","ELE","440933","Wilko TV Bracket 13 - 23in Multi","Wilko","17.5 x 12 x 34.1cm","Black",NA,NA,NA,"LETA100-RO",0.941666666666667
"DIY","ELE","440936","Wilko TV Bracket 23 - 50in Flat","Wilko","23 x 23 x 34.1cm","Black",NA,NA,NA,"LETA200-RO",0.941666666666667
"DIY","ELE","440938","Wilko TV Bracket  23 - 50in Multi","Wilko","23 x 23 x 1.3cm","Black",NA,NA,NA,"LEF200-RO",0.941666666666667
"DIY","ELE","440942","Wilko TV Bracket 32 - 70in Variable","Wilko","50 x 6.5 x 42cm","Black",NA,NA,NA,"LPSRVT400-RO",0.941666666666667
"DIY","ELE","440943","Wilko TV Bracket 32 - 70in Multi","Wilko","47 x 43 x 52.9cm","Black",NA,NA,NA,"LERTA400-RO",0.941666666666667
"DIY","ELE","440945","Wilko Work Light 10W Rechargeable and USB","Wilko","24 x 15 x 16.4cm","Multi","1",NA,"10W USB Rechargeable","LSWR10BR-01",1
"DIY","ELE","455030","Wilko Extension Lead 1 Socket 8m","Wilko","8m",NA,NA,NA,NA,NA,0.86
"DIY","ELE","455036","Wilko Tower Basic 10 Socket","Wilko",NA,NA,"1","Plastic, Metal",NA,NA,0.883333333333333
"DIY","ELE","455037","Wilko Extension Lead with USB 4 Gang White","Wilko","2m",NA,NA,NA,NA,NA,0.86
"DIY","ELE","455038","Wilko Extension Lead with USB 6 Gang White","Wilko","2m",NA,NA,NA,NA,NA,0.86
"DIY","ELE","455041","Wilko Tower 10 Socket USB Surge","Wilko",NA,NA,NA,NA,NA,NA,0.79
"DIY","ELE","455043","Wilko Surge Adaptor With USB","Wilko",NA,NA,"1","Plastic, Metal",NA,NA,0.883333333333333
"DIY","ELE","5349240","Wilko Fuses 3amp 4pk","Wilko","3AMP",NA,NA,NA,NA,NA,0.825
"DIY","ELE","5349340","Wilko Fuses 5amp 4pk","Wilko","5AMP",NA,NA,NA,NA,NA,0.825
"DIY","ELE","5349440","Wilko Fuses 13amp 4pk","Wilko","13AMP",NA,NA,NA,NA,NA,0.825
