"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","DQ Score"
"HOM","CLO","427148","Wilko Bell Alarm Clock Silver","Wilko",NA,0.766666666666667
"HOM","CLO","452625","Wilko Radio Controlled Wall Clock","Wilko","1",0.825
"HOM","CLO","452627","Wilko Bell Alarm Clock Copper Effect","Wilko","1",0.825
