"PSA_1","PSA_2","Article","Web Description","Brand","Size","Assembly","DQ Score"
"GAR","SUN","160446","Wilko Get Gardening Multi Purpose Poly Sheet Clear6mx2m","Wilko","2x6m","No",0.883333333333333
"GAR","SUN","445708","Wilko Plant Pot Mover","Wilko","W 8 x L 126cm","No",0.93
