"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","Assembly","DQ Score"
"HOM","FUR","440631","Value Folding Bed With Memory Foam Mattress Single","Jay-Be","1","No",0.833333333333333
"HOM","FUR","440632","Value Folding Bed With Memory Foam Mattress Double","Jay-Be","1","No",0.833333333333333
"HOM","FUR","440633","Advance Folding Bed With Airflow Mattress Single","Jay-Be","1","No",0.833333333333333
"HOM","FUR","440634","Jubilee Folding Bed With Airflow Mattress Single","Jay-Be","1","No",0.833333333333333
"HOM","FUR","440635","Jubilee Folding Bed With Airflow Mattress Double","Jay-Be","1","No",0.833333333333333
"HOM","FUR","440636","Royal Folding Bed With Pocket Sprung MattressSingle","Jay-Be","1","No",0.833333333333333
"HOM","FUR","440637","Impression Folding Bed With Memory Foam MattressSingle","Jay-Be","1","No",0.833333333333333
"HOM","FUR","440638","Revolution Folding Bed With Airflow Fibre MattressSingle","Jay-Be","1","No",0.833333333333333
"HOM","FUR","440639","Inspire Folding Bed With Contract Fibre MattressSingle","Jay-Be","1","No",0.833333333333333
"HOM","FUR","440640","Revolution Folding Bed With Pocket Sprung MattressSingle","Jay-Be","1","No",0.833333333333333
"HOM","FUR","440641","Revolution Folding Bed With Memory Foam MattressSingle","Jay-Be","1","No",0.833333333333333
"HOM","FUR","440642","J-Bee Folding Bed With Performance AirflowMattress Single","Jay-Be","1","No",0.833333333333333
"HOM","FUR","440643","J-Bee Folding Bed With Performance AirflowMattress Double","Jay-Be","1","No",0.833333333333333
