"PSA_1","PSA_2","Article","Web Description","Brand","Size","DQ Score"
"GAR","WAT","310567","Wilko Sprayer Trigger Teal/Green 550ml","Wilko","550ml",1
"GAR","WAT","7193240","Wilko Functional Trigger Sprayer 960ml","Wilko","960ml",1
