"PSA_1","PSA_2","Article","Web Description","Brand","Size","Material","Washable","DQ Score"
"HOM","CUR","425725","Wilko Thermal Blackout Curtains Duck Egg228 x 228","Wilko","Pencil Pleat Curtain 228x228 cm","52/48 POLYCOTTON","Wash at 30",0.9
"HOM","CUR","425727","Wilko Pencil Pleat Thermal Blackout Curtains Cream167 x 137cm","Wilko","Pencil Pleat Curtain 167x137 cm","52/48 POLYCOTTON","Wash at 30",0.9
