"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"GAR","NET","447673","Wilko Picket Fence Lawn Edging 99cm","Wilko","99cm",NA,"1",NA,NA,0.93
"GAR","PCL","436277","Rowlinson Raised Patio Planter","Rowlinson","180cm",NA,NA,NA,"No",0.93
"GAR","PCL","436278","Rowlinson Square Planter","Rowlinson","50cm",NA,NA,NA,"No",0.93
"GAR","PCL","436282","Rowlinson Marberry Rectangular Planter","Rowlinson","50cm",NA,NA,NA,"No",0.93
"GAR","SUN","407767","Rowlinson Greenvale Metal Pent Garden Shed 6 x 4","Rowlinson","6 x 4","Green",NA,"Steel","No",1
"GAR","SUN","437723","Rowlinson Greenvale Metal Apex Garden Shed 6 x 5","Rowlinson","6 x 5",NA,NA,"Metal","Yes",0.941666666666667
"GAR","SUN","437724","Rowlinson Greenvale Metal Apex Garden Shed 8 x 6","Rowlinson","8 x 6",NA,NA,"Metal","Yes",0.941666666666667
"GAR","SUN","437725","Rowlinson Greenvale Metal Apex Garden Shed 10 x 8","Rowlinson","10 x 8",NA,NA,"Metal","Yes",0.941666666666667
"GAR","SUN","437727","Rowlinson Greenvale Metal Pent Garden Shed 8 x 4","Rowlinson","8 x 4",NA,NA,"Metal","Yes",0.941666666666667
"GAR","TRA","436274","Rowlinson Single Hardwood Coldframe","Rowlinson","61cm",NA,NA,"Wood Timber","No",1
