"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Material","Assembly","Washable","Age","DQ Score"
"TOY","FAN","456608","Wilko Talking Softie Baby Doll","Wilko","Multi","1",NA,NA,"Do Not Wash","12 Months +",0.95
"TOY","FAN","456609","Wilko Potty Time Doll","Wilko","Multi","1",NA,NA,"Do Not Wash","3 Years +",0.95
"TOY","FAN","456610","Wilko Cry Baby Mia Doll","Wilko","Multi","1","Plastic","No","Do Not Wash","18 Months +",0.65
"TOY","FAN","456611","Wilko Princess Styling Head","Wilko","Multi","1",NA,NA,"Do Not Wash","3 Years +",0.95
"TOY","FAN","456612","Wilko Talking Doll","Wilko","Multi","1","Plastic","No","Do Not Wash","3 Years +",0.65
