"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","DQ Score"
"DIY","DOO","343519","Wilko Patio Door Bolt - Satin Chrome","Wilko","1 Pack",NA,"1",NA,0.93
"DIY","DOO","343520","Wilko Patio Door Bolt   White","Wilko","1 Pack",NA,"1",NA,0.93
"DIY","DOO","343671","Wilko Glide Bolt Brass  6in","Wilko","6in",NA,NA,NA,0.825
"DIY","DOO","343673","Wilko Glide Bolt Chrome 6in","Wilko","6in",NA,NA,NA,0.825
"DIY","DOO","343522","Wilko Knob Pine Unlacquered 25mm 8pk","Wilko Functional","25mm","Wood","8pk","Unlacquered Pine",0.95
"DIY","DOO","343523","Wilko Knob Pine Unlacquered 38mm 8pk","Wilko Functional","38mm","Wood","8pk","Unlacquered Pine",0.95
"DIY","DOO","343692","Wilko Door Knob Beech Unlacqd 25mm 8pk","Wilko Functional","25mm","Wood","8pk","Unlacquered Beech",0.95
"DIY","DOO","343693","Wilko Door Knob Beech Unlacqd 38mm 8pk","Wilko Functional","38mm","Wood","8pk","Unlacquered Beech",0.95
"DIY","ROP","343730","Eliza Tinsley Ceiling Hook Bright Zinc 100 x 6mm2pk","Eliza Tinsley","4x0.25in",NA,"2pk",NA,0.883333333333333
"DIY","ROP","343737","Eliza Tinsley Fast Eye Pulley Zinc Plated 38mm","Eliza Tinsley","1.5in",NA,"1pk",NA,0.93
"DIY","ROP","343739","Eliza Tinsley Cleat Hook  Zinc Plated 100mm 2pk","Eliza Tinsley","4in",NA,"2pk",NA,0.93
"DIY","ROP","343740","Eliza Tinsley Plate Staple Galvanized 50 x 50mm2pk","Eliza Tinsley",NA,NA,"2pk",NA,0.86
"DIY","ROP","343795","Eliza Tinsley Single Jack Chain Bright Zinc 2mm x2mm","Eliza Tinsley","2m",NA,NA,NA,0.86
"DIY","ROP","343796","Eliza Tinsley Single Jack Chain Black 2.5mm x 2m","Eliza Tinsley","2m",NA,NA,NA,0.86
"DIY","ROP","344152","Eliza Tinsley Welded Long Link Chain Bright Zinc2m x 4mm","Eliza Tinsley","2m",NA,NA,NA,0.86
"DIY","ROP","344158","Eliza Tinsley Long Link Chain Welded Bright Zinc6mm x 2m","Eliza Tinsley","6mmx2m",NA,NA,NA,0.86
"DIY","ROP","344336","Eliza Tinsley Carbine Hooks Quick Release Zinc60mm 2pk","Eliza Tinsley","60mm",NA,"2pk",NA,0.883333333333333
"DIY","ROP","344372","Eliza Tinsley Quick Repair Link Bright Zinc 4mm2pk","Eliza Tinsley","4mm",NA,"2pk",NA,0.93
"DIY","ROP","344394","Eliza Tinsley Ring and Plate Galvanized 50mm","Eliza Tinsley",NA,NA,"1pk",NA,0.86
"DIY","ROP","343731","Eliza Tinsley Consumer Cup Hook Chrome Effect 2pk","Wilko","38mm",NA,"2pk",NA,0.833333333333333
"DIY","ROP","343797","Short Link Welded Chain Bright Zinc  2m x 3mm","Wilko","2m",NA,NA,NA,0.81
"DIY","ROP","344156","Eliza Tinsley Long Link Welded Chain 2m x 5mm","Wilko","5mmx2m",NA,NA,NA,0.81
"DIY","ROP","344175","Eliza Tinsley Polypropylene Rope Reel 15m x 8mm","Wilko","8mmx15m",NA,"1",NA,0.88
"DIY","ROP","344189","Wilko Nylon Cord Reel White 30m","Wilko","30m",NA,"1",NA,0.93
"DIY","ROP","344203","Eliza Tinsley Nylon Rope 0.25 x 50in White","Wilko","0.25x50in",NA,"1",NA,0.88
"DIY","ROP","344206","Eliza Tinsley Polypropylene Rope Blue and Red15m x 6mm","Wilko","6mmx15m",NA,"1",NA,0.88
"DIY","ROP","344293","Eliza Tinsley Webbing Handi Reel Black 15m","Wilko","15m",NA,"1",NA,0.88
"DIY","ROP","344297","Eliza Tinsley Webbing Handi Reel Yellow 15m","Wilko","15m",NA,NA,NA,0.81
"DIY","ROP","344301","Eliza Tinsley Shock Cord Handi Reel White 15m","Wilko","15m",NA,"1",NA,0.88
"DIY","ROP","344332","Eliza Tinsley Carbine Hooks Quick Release Zinc50mm 2pk","Wilko","50mm",NA,"2pk",NA,0.833333333333333
"DIY","ROP","344359","Eliza Tinsley Wire Rope Grips Bright Zinc 4pk","Wilko",NA,NA,"4pk",NA,0.81
