"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Power","DQ Score"
"KIT","ELE","316166","Wilko Stainless Steel Oval Slow Cooker 6L","Wilko","6L","Multi","Mains",0.941666666666667
"KIT","ELE","316165","Wilko Functional Slow Cooker 1.5L","Wilko Functional","1.5L","White",NA,0.883333333333333
