"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","Model Number","DQ Score"
"KIT","ELE","cr00027","Hostess Trolley Drop Door HL6200DB","Crosslee",NA,"Brown","1","No","410W","HL6200DB",0.90625
"KIT","ELE","cr00032","Hostess Trolley Full Door HL6232BS","Crosslee",NA,"Silver","1","No","410W","HL6232BS",0.90625
"KIT","ELE","cr00059","Hostess Freestanding 46 Bottle Wine Cabinet HW46MA","Crosslee","46 Bottle","Black","1",NA,"140W","HW46MA",0.95
