"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","DQ Score"
"SBK","COM","319273","Wilko Copier Paper A4 500s","Wilko","A4","White",NA,NA,0.883333333333333
"SBK","NOT","431999","Nu Era Bright A4 Notebook","NU","A4",NA,"1",NA,1
"SBK","NOT","432000","Nu Era Bright A5 Notebook","NU","A5",NA,"1",NA,1
"SBK","NOT","432001","Nu Era Bright A4 Study Book","NU","A4",NA,"1",NA,1
"SBK","NOT","432002","Nu Era Bright A5 Study Book","NU","A5",NA,"1",NA,1
"SBK","NOT","431964","Nu Elite Prestige A7 PU Notebook","NU ELITE","A7",NA,"1",NA,1
"SBK","NOT","431968","Nu Elite Prestige A5 Wiro Journal","NU ELITE","A5",NA,"1",NA,1
"SBK","NOT","431970","Nu Elite Prestige A6 Wiro Journal","NU ELITE","A6",NA,"1",NA,1
"SBK","NOT","431979","Nu Elite A5 Wiro Kraft Notebook","NU ELITE","A5",NA,"1",NA,1
"SBK","NOT","431980","Nu Elite Kraft A6 Gluebound Notebook","NU ELITE","A6",NA,"1",NA,1
"SBK","OFF","431997","NU Era Brights Ringbinder","Nuco","31.5 x 26.8 x 4.0cm","Multi","1","Metal Mechanism, Matt Laminated Cover",0.95
"SBK","OFF","432794","NU Era Brights Lever Arch File","Nuco","31.5 x 30.0 x 7.2cm","Multi","1","Metal Mechanism, Matt Laminated Cover",0.95
