"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Assembly","Capacity","DQ Score"
"CLE","SUR","418129","Hob Brite Cream 250ml","Hob Brite","250ml","1",NA,NA,1
"CLE","SUR","224088","Homecare Shiny Sinks 290ml","Shiny Sinks","290ml","1",NA,NA,1
"CLE","SUR","1159440","Caustic Soda 500g","Wilko","500g","1",NA,NA,0.9
"CLE","SUR","430138","Wilko 2 in 1 Sink and Drain Unblocker Kit","Wilko","500ml","1",NA,NA,1
"CLE","SUR","430139","Wilko Oven and BBQ Cleaner 500ml","Wilko","500ml","1","No","500ml",0.65
