"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Capacity","Coverage","Model Number","DQ Score"
"HOM","PHO","242203","Wilko Pewter Effect Photo Frame 7 x 5in","Wilko","7x5in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","242204","Wilko Pewter Effect Photo Frame 8 x 6in","Wilko","8x6in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","242205","Wilko Pewter Effect Photo Frame 10 x 8in","Wilko","10x8in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","242322","Wilko Rustic Effect Photo Frame A4","Wilko","A4","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","250486","Wilko Pewter Effect Photo Frame A4","Wilko","A4","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","250487","Wilko Pewter Effect Photo Frame 12 x 10in","Wilko","12x10in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","250488","Wilko Pewter Effect Photo Frame 20 x 16in","Wilko","20x16in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","277030","Wilko Dorchester Silver Photo Frame 7 x 5in","Wilko","7x5in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","277031","Wilko Dorchester Silver Photo Frame 8 x 6in","Wilko","8x6in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","277033","Wilko Dorchester Silver Photo Frame 10 x 8in","Wilko","10x8in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","277034","Wilko Dorchester Silver Photo Frame 12 x 10in","Wilko","12x10in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","277035","Wilko Dorchester Silver Photo Frame 14 x 11in","Wilko","11x14in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","277037","Wilko Dorchester Silver Photo Frame 20 x 16in","Wilko","20x16in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291010","Wilko Black Photo Frame 6 x 4in","Wilko","6x4in","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291011","Wilko Black Photo Frame 7 x 5in","Wilko","7x5in","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291012","Wilko Black Photo Frame 8 x 6in","Wilko","8x6in","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291013","Wilko Black Photo Frame 10 x 8in","Wilko","10x8in","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291027","Wilko Black Photo Frame 12 x 10in","Wilko","10x12in","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291028","Wilko Black Photo Frame 14 x 11in","Wilko","14x11in","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291029","Wilko Black Photo Frame 20 x 16in","Wilko","16x20in","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291032","Wilko Black Multi Aperture Photo Frame3 x 6 x 4in","Wilko","3x6x4in","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291043","Wilko Light Wood Effect Photo Frame 6 x 4in","Wilko","6x4in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291044","Wilko Light Wood Effect Photo Frame 7 x 5in","Wilko","7x5in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291045","Wilko Light Wood Effect Photo Frame 8 x 6in","Wilko","8x6in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291046","Wilko Light Wood Effect Photo Frame 10 x 8in","Wilko","10x8in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291078","Wilko Light Wood Effect Photo Frame 12 x 10in","Wilko","10x12in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291079","Wilko Light Wood Effect Photo Frame 14 x 11in","Wilko","14x11in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291080","Wilko Light Wood Effect Photo Frame 20 x 16in","Wilko","16x20in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","291082","Wilko Light Wood Effect Multi Aperture Photo Frame3 x 6 x4in","Wilko","3x6x4in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296910","Wilko Pewter Effect Photo Frame 16 x 12in","Wilko","16x12in","Grey","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296929","Wilko Black Multi Aperture Photo Frame5 x 6 x4in","Wilko","5x6x4in","Black","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296932","Wilko Light Wood Effect Multi Aperture Photo Frame6 x 6 x 4in","Wilko","Multi App Frame","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296941","Wilko Mirror Glass Photo Frame 6 x 4in","Wilko","6x4in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296942","Wilko Mirror Glass Photo Frame 7 x 5in","Wilko","7x5in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296943","Wilko Mirror Glass Photo Frame 8 x 6in","Wilko","8x6in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296944","Wilko Mirror Glass Photo Frame 10 x 8in","Wilko","10x8in","Silver","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296946","Wilko Rustic Effect Photo Frame 6 x 4in","Wilko","6x4in","Wood","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296966","Wilko White Multi Aperture Photo Frame5 x 6 x4in","Wilko","5x6x4in","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296967","Wilko White Photo Frame 6 x 4in","Wilko","6x4in","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296968","Wilko White Photo Frame 7 x 5in","Wilko","7x5in","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296969","Wilko White Photo Frame 8 x 6in","Wilko","8x6in","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296970","Wilko White Photo Frame 10 x 8in","Wilko","10x8in","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296971","Wilko White Photo Frame 12 x 10in","Wilko","12x10in","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296972","Wilko White Photo Frame 14 x 11in","Wilko","14x11in","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296973","Wilko White Photo Frame 20 x 16in","Wilko","16x20in","White","1",NA,NA,NA,NA,NA,1
"HOM","PHO","296975","Wilko White Multi Aperture Photo Frame3 x 6 x 4in","Wilko","3x6x4in","White","1",NA,NA,NA,NA,NA,1
