"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","Power","DQ Score"
"HOM","LIG","436874","Wilko Suspension Lighting Kit Brass Effect","Wilko","Suspension Kit 10 x 85",NA,"1","No","60w",0.95
"HOM","LIG","437026","Wilko Sienna Lamp Silver Effect","Wilko","Table Lamp 18 x 32 x 40",NA,"1","No","40w",0.95
"HOM","LIG","455249","Wilko Light Shade Velvet Mauve","Wilko","Dia: 30cm x H: 20cm",NA,"1",NA,NA,0.93
"HOM","LIG","455250","Wilko Light Shade Velvet Teal","Wilko","Dia: 30cm x H: 20cm",NA,"1",NA,NA,0.93
"HOM","LIG","455251","Wilko Light Shade Velvet Grey","Wilko","Dia: 30cm x H: 20cm",NA,"1",NA,NA,0.93
"HOM","LIG","455252","Wilko Outdoor Light Dual Illuminator PIR","Wilko","W: 7cm x Depth: 11cm x H: 21cm",NA,"1",NA,"2 x 35w",0.941666666666667
"HOM","LIG","455253","Wilko Outdoor Light Chimney Wall","Wilko","W: 17cm x Depth: 19cm x H: 31cm",NA,"1",NA,"60w",0.941666666666667
"HOM","LIG","455254","Wilko Outdoor Light 4 Sided Lantern","Wilko","W: 15cm x Depth: 18.5cm x H: 35cm",NA,"1",NA,"60w",0.941666666666667
"HOM","LIG","455255","Wilko Light Shade Charcoal Taper Small","Wilko","Dia: 22cm x Dia 16.5cm x H: 17cm",NA,"1",NA,NA,0.93
"HOM","LIG","455256","Wilko Light Shade Charcoal Taper Large","Wilko","Dia: 29cm x Dia 23cm x H: 19.5cm",NA,"1",NA,NA,0.93
"HOM","LIG","455257","Wilko Light Shade 3 Tier Charcoal","Wilko","Dia: 35cm x H: 15cm",NA,"1",NA,NA,0.93
"HOM","LIG","455259","Wilko Shade Black with Gold Lining","Wilko","Dia: 30cm x H: 20cm",NA,"1",NA,NA,0.93
"HOM","LIG","455260","Wilko Outdoor Oblong Wall Light","Wilko","W: 15cm x Depth: 10cm x H: 28cm",NA,"1",NA,"60w",0.941666666666667
"HOM","LIG","455262","Wilko Lamp Marble Effect Small","Wilko","Dia: 20cm x H: 30.5cm",NA,"1","No","40W",0.95
"HOM","LIG","455263","Wilko Lamp Ceramic Cut Out Silver","Wilko","Dia: 25cm x H: 0.95cm",NA,"1","No","40W",0.95
"HOM","LIG","456442","Wilko Light Shade Grey Glitter Small","Wilko","Dia: 30cm x H: 20cm",NA,"1",NA,NA,0.93
