"PSA_1","PSA_2","Article","Web Description","Brand","Colour","Pack Qty","Age","DQ Score"
"TOY","ACT","279774","Wilko Play Roadsters City Bus Assortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","283861","Wilko Play Roadsters Die Cast Car Assortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","305657","Wilko Play Roadsters Heavy Hauler TransporterAssortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","305662","Wilko Play Roadsters Heavy Haulers Locomotive","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","305666","Wilko Play Roadsters Road Tripper","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","329467","Wilko Play Roadsters Classic Bus Assortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","329468","Wilko Play Roadsters Emergency Heli TransportAssortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","335894","Wilko Play Roadsters Ice Cream Van","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","350209","Wilko Play Roadsters Die Cast Cars 5pk Assortment","Wilko","Multi","5","3 Years +",0.941666666666667
"TOY","ACT","350211","Wilko Play Roadsters City Transport Assortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","417999","Wilko Play Roadsters Roadside Rescue Assortment","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","456514","Wilko Roadsters Diecast Cars Asst 4 inch","Wilko","Multi","4","3 Years +",0.941666666666667
"TOY","ACT","456515","Wilko Roadsters Diecast 4x4 and Horsebox Trailer","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","456516","Wilko Roadsters Diecast City Rescue VehicleAssorted","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","456517","Wilko Roadsters Diecast City Services VehicleAssorted","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","456519","Wilko Roadsters Truck Carry Case","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","456520","Wilko Roadsters Playmat and Car Assorted","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","456521","Wilko Roadsters Packaway Garage","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","456522","Wilko Roadsters Barrel Bash Track Set","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","ACT","456523","Wilko Roadsters City Rescue Vehicle","Wilko","Multi","1","3 Years +",0.941666666666667
"TOY","FAN","443823","Chicco Ranger Dolls Pram Junior Collection Pink","Chicco Capri",NA,"1","3 Years +",0.8
