"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Age","DQ Score"
"DEC","WAL","452285","Wilko Wall Stickers Home Is Where The Heart Is","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DEC","WAL","452287","Wilko Wall Stickers All Good Things In Life","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DEC","WAL","452288","Wilko Wall Stickers Cities 28 Piece","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"DEC","WAL","452289","Wilko Wall Stickers Starburst 70 Piece","Wilko",NA,NA,"1",NA,NA,NA,0.9125
"HOM","CHI","434795","Fine Decor Heart Stickers 18pcs","Fine Decor","30cm x 60cm",NA,"1","Vinyl",NA,NA,0.9
"SBK","DES","434408","Wilko White Message Board 30cm x 60cm","Wilko","30cm x 60cm","White","1",NA,NA,NA,1
"SBK","DES","434410","Wilko Calendar Message Board & Planner","Wilko","30cm x 60cm","White","1",NA,NA,NA,1
"XMD","FOI","420102","Wilko Christmas Wall And Window Sticker Santa AndSleigh","Wilko","60 x 29","Silver","1","Vinyl","No","3+",0.65
"XMD","FOI","420103","Wilko Christmas Wall And Window Sticker SnowflakeSilver","Wilko","60 x 29","Silver","1","Vinyl","No","3+",0.65
"XMD","FOI","420104","Wilko Christmas Wall Stickers Text","Wilko","60 x 29","Multi","1","Vinyl","No","3+",0.65
"XMD","FOI","438307","Wilko Kids Character Christmas Wall Stickers","Wilko","60x29","Multi","24","Vinyl","No","3+",0.65
"XMD","FOI","438311","Wilko Christmas Window and Wall Stickers Gold Text","Wilko","60 x 29","Gold","1","Vinyl","No","3+",0.65
