"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Age","DQ Score"
"TOY","BLO","446943","Wilko Blox Police Starter Tube","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","BLO","447278","Wilko Blox Police and Robbery Medium Set","Wilko",NA,"Multi","1",NA,NA,NA,"6 Years +",0.941666666666667
"TOY","BLO","447279","Wilko Blox Dump Truck Medium Set","Wilko",NA,"Multi","1",NA,NA,NA,"6 Years +",0.941666666666667
"TOY","BLO","447298","Wilko Blox Military Starter Tube","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","BLO","447299","Wilko Blox City Riders Starter Tube","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","BLO","447300","Wilko Blox Fireman Starter Tube","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","BLO","447301","Wilko Blox Construction Starter Tube","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","BLO","456540","Wilko Blox Fire Station Bumper Set","Wilko","Medium Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456542","Wilko Blox Construction Mega Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456543","Wilko Blox Airport Bumper Set","Wilko","Medium Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456545","Wilko Blox Police Station Mega Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456546","Wilko Blox Town House Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456547","Wilko Blox Park Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456548","Wilko Blox Construction Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456549","Wilko Blox 10-in-1 Plane Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456550","Wilko Blox Tree House Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456551","Wilko Blox Riot Van Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456552","Wilko Blox Fire Rescue Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456553","Wilko Blox Petrol Station Large Set","Wilko","Large Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456554","Wilko Blox Pirate Island Medium Set","Wilko","Medium Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456555","Wilko Blox Horse and Carriage Medium Set","Wilko","Medium Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456556","Wilko Blox Rocket Launcher Medium Set","Wilko","Medium Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456557","Wilko Blox Fire Engine Medium Set","Wilko","Medium Set","Multi","1","Plastic","No",NA,"6 Years +",0.65
"TOY","BLO","456558","Wilko Blox Dragon and Knight Small Set","Wilko","Small Set","Multi","1","Plastic","No",NA,"5 Years +",0.65
"TOY","BLO","456559","Wilko Blox Black Cab Small Set","Wilko","Small Set","Multi","1","Plastic","No",NA,"5 Years +",0.65
"TOY","BLO","456560","Wilko Blox Police Car Small Set","Wilko","Small Set","Multi","1","Plastic","No",NA,"5 Years +",0.65
"TOY","BLO","456561","Wilko Blox Tank Small Set","Wilko","Small Set","Multi","1","Plastic","No",NA,"5 Years +",0.65
"TOY","BLO","456562","Wilko Blox Helicopter Small Set","Wilko","Small Set","Multi","1","Plastic","No",NA,"5 Years +",0.65
"TOY","BLO","456563","Wilko Blox Fire Buggy Small Set","Wilko","Small Set","Multi","1","Plastic","No",NA,"5 Years +",0.65
"TOY","BLO","456564","Wilko Blox Fire Sea Plane Small Set","Wilko","Small Set","Multi","1","Plastic","No",NA,"5 Years +",0.65
"TOY","BLO","456566","Wilko Blox Penalty Shootout Starter Set","Wilko","Small Set","Multi","1","Plastic","No",NA,"5 Years +",0.65
"TOY","BLO","456567","Wilko Blox Construction Accessory Pack","Wilko","Small Set","Multi","1","Plastic","No",NA,"5 Years +",0.65
"TOY","BLO","456568","Wilko Blox Police Accessory Pack","Wilko","Small Set","Multi","1","Plastic","No",NA,"5 Years +",0.65
"TOY","BLO","456569","Wilko Blox Fire Accessory Pack","Wilko","Small Set","Multi","1","Plastic","No",NA,"5 Years +",0.65
"TOY","CRE","243479","Wilko Connect Colours Game","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","243502","Wilko Hangman Game","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","320570","Wilko Blox Racing Car Starter Set Assortment","Wilko","Small Set","Multi","1","Plastic","No",NA,"5 Years +",0.65
"TOY","CRE","320573","Wilko Blox Emergency Vehicle Starter Set Assortment","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","335883","Wilko Blox Ice Cream/Camper Van Assortment","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","335884","Wilko Blox Baseplate Assortment","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","335886","Wilko Blox Fashion Beauty Starter Set","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","335982","Wilko Decorate Your Own Jewellery Box","Wilko",NA,"Pink","1",NA,NA,NA,"6 Years +",0.941666666666667
"TOY","CRE","335984","Wilko Torment Game","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","336343","Wilko Blox Figures 5pk Assortment","Wilko",NA,"Multi","5",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","337773","Wilko Blox High Speed Tanker Set Assortment","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","350199","Wilko Blox Spaceship Starter Set Assorted","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","350201","Wilko Blox Park Cafe Small Set","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","350854","Wilko Play Marble Race 90pcs","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","350902","Wilko Who Am I Game","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","401463","Wilko Blox Storage Lap Tray","Wilko","Small Set","Multi","1","Plastic","No",NA,"3 Years +",0.65
"TOY","CRE","414818","Wilko Blox Animal Assortment","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","414819","Wilko Blox Dinosaur Assortment","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","414821","Wilko Blox Safari Mammal Assortment","Wilko",NA,"Multi","1",NA,NA,NA,"3 Years +",0.941666666666667
"TOY","CRE","414822","Wilko Blox Dinosaur Assortment","Wilko",NA,"Multi","1",NA,NA,NA,"5 Years +",0.941666666666667
"TOY","CRE","414823","Wilko Blox Space Ship Medium Set","Wilko",NA,"Multi","1",NA,NA,NA,"6 Years +",0.941666666666667
