"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","DQ Score"
"HOU","IRN","161778","Wilko Table Top Ironing Board 81 x 30cm","Wilko","81x30cm","Multi",NA,0.93
"HOU","IRN","271114","Wilko  Ironing Board Assorted Large 124 x 40cm","Wilko","124x40cm","Multi","1",1
"HOU","IRN","271115","Wilko Ironing Board Assorted Medium 116 x 35.5cm","Wilko","35.5x116cm","Multi",NA,0.93
"HOU","IRN","55047","Wilko Laundry Board Sleeve","Wilko","50x11cm","Multi",NA,0.93
"HOU","IRN","189749","Wilko Functional Laundry Ironing Board Assorted Small 110 x 32cm","Wilko Functional","32x110cm","Multi",NA,0.93
